,Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,keywords
11,Complex Adaptive Socio-Technical Systems Theory View of Ubiquitous Computing Systems Research,Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services,,,,10.1007/978-3-319-13102-3_36,Yongming WangJunzhong GuZili Zhou,2014,http://link.springer.com/chapter/10.1007/978-3-319-13102-3_36,Chapter,"Ubiquitous Computing Systems ,Complex Adaptive System ,Socio-Technical Systems ,System Dynamics Modeling ,Discrete-Even Modeling ,Agent-based Modeling "
12,A Safety Guard for Driving Fatigue Detection Based on Left Prefrontal EEG and Mobile Ubiquitous Computing,Internet of Vehicles - Safe and Intelligent Mobility,,,,10.1007/978-3-319-27293-1_17,Jian HeMingwo ZhouChen HuXiaoyi Wang,2015,http://link.springer.com/chapter/10.1007/978-3-319-27293-1_17,Chapter,"Driving fatigue detection ,Prefrontal lobe EEG ,Ubiquitous computing ,K-NN "
13,The Role of Ubiquitous Computing and the Internet of Things for Developing 21st Century Skills Among Learners: Experts’ Views,Lifelong Technology-Enhanced Learning,,,,10.1007/978-3-319-98572-5_63,Olga VibergAnna Mavroudi,2018,http://link.springer.com/chapter/10.1007/978-3-319-98572-5_63,Chapter,"21st century skills ,Ubiquitous computing ,Internet of Things "
14,Mobile Agent System Based Cloud Computing for Ubiquitous Telemonitoring Healthcare,"Mobile, Secure, and Programmable Networking",,,,10.1007/978-3-030-03101-5_10,Nardjes BouchemalRamdane MaamriNaila Bouchemal,2019,http://link.springer.com/chapter/10.1007/978-3-030-03101-5_10,Chapter,"Ubiquitous Telemonitoring Healthcare ,Agent technology ,Cloud computing "
15,What Changes from Ubiquitous Computing to Internet of Things in Interaction Evaluation?,"Distributed, Ambient and Pervasive Interactions",,,,10.1007/978-3-319-58697-7_1,Rossana M. C. AndradeRainara M. CarvalhoItalo Linhares de AraújoKáthia M. OliveiraMarcio E. F. Maia,2017,http://link.springer.com/chapter/10.1007/978-3-319-58697-7_1,Chapter,"Internet of Things ,Ubiquitous computing ,Quality characteristics ,Software measures ,Interaction evaluation "
16,Are Supercaps Ready for Ubiquitous Computing?,Ubiquitous Computing and Ambient Intelligence,,,,10.1007/978-3-319-48799-1_40,Andre LoechteLudwig HorsthemkeThomas BrinkmannMichael LeukerAndreas HellerPeter Gloesekoetter,2016,http://link.springer.com/chapter/10.1007/978-3-319-48799-1_40,Chapter,
17,Social Demands in Ubiquitous Computing: Contexts for Tomorrow’s Learning,Tomorrow's Learning: Involving Everyone. Learning with and about Technologies and Computing,,,,10.1007/978-3-319-74310-3_46,Mareen PrzybyllaRalf Romeike,2017,http://link.springer.com/chapter/10.1007/978-3-319-74310-3_46,Chapter,"Computer science ,Education ,Embedded systems ,Ubiquitous computing ,Social demands "
18,Profile Management System in Ubiquitous Healthcare Cloud Computing Environment,"Broadband Communications, Networks, and Systems",,,,10.1007/978-3-030-05195-2_11,Evy KaravatselouMaria-Anna FengouGeorgios MantasDimitrios Lymberopoulos,2019,http://link.springer.com/chapter/10.1007/978-3-030-05195-2_11,Chapter,"Ubiquitous healthcare ,Cloud computing ,Profile management system ,Smart card technology "
19,Promoting Healthy Nutrition Behavior Using Mobile Devices and Ubiquitous Computing,Ambient Assisted Living. ICT-based Solutions in Real Life Situations,,,,10.1007/978-3-319-26410-3_9,Felipe BesoainAntoni Perez-NavarroFelipe OjedaJose Antonio Reyes-Suarez,2015,http://link.springer.com/chapter/10.1007/978-3-319-26410-3_9,Chapter,"Ubiquitous computing ,Geofencing ,Mobile devices ,Ehealth "
20,Towards Deeper Understanding of User Experience with Ubiquitous Computing Systems: Systematic Literature Review and Design Framework,Human-Computer Interaction – INTERACT 2015,,,,10.1007/978-3-319-22698-9_26,Kaisa Väänänen-Vainio-MattilaThomas OlssonJonna Häkkilä,2015,http://link.springer.com/chapter/10.1007/978-3-319-22698-9_26,Chapter,"User experience ,Ubiquitous computing ,Literature review ,UX design and evaluation framework "
21,Human-to-Human Interaction: The Killer Application of Ubiquitous Computing?,"Human-Computer Interaction. User Interface Design, Development and Multimodality",,,,10.1007/978-3-319-58071-5_7,Salvatore SorceStefano RuggieriVito GentileAntonio GentileAlessio Malizia,2017,http://link.springer.com/chapter/10.1007/978-3-319-58071-5_7,Chapter,"Ubiquitous computing ,Social factors ,Computer-Mediated communication "
22,"Trust-Based, Privacy-Preserving Context Aggregation and Sharing in Mobile Ubiquitous Computing","Mobile and Ubiquitous Systems: Computing, Networking, and Services",,,,10.1007/978-3-319-11569-6_25,Michael XingChristine Julien,2014,http://link.springer.com/chapter/10.1007/978-3-319-11569-6_25,Chapter,
23,Ubiquitous Bluetooth Mobile Based Remote Controller for Home Entertainment Centre,Advances in Computer Science and Ubiquitous Computing,,,,10.1007/978-981-10-0281-6_16,Andy Shui-Yu LaiChing-Laam Leung,2015,http://link.springer.com/chapter/10.1007/978-981-10-0281-6_16,Chapter,"Home entertainment centre ,Ubiquitous computing ,Mobile programming ,Bluetooth technology "
24,Interchanging Cloud Providers Instances Through Ubiquitous Devices,Cloud Computing,,,,10.1007/978-3-319-05506-0_5,Tiago M. C. SimõesJorge E. F. CostaJoel J. P. C. RodriguesLong Hu,2014,http://link.springer.com/chapter/10.1007/978-3-319-05506-0_5,Chapter,"Cloud computing ,Ubiquitous devices ,Mobile devices ,Interoperability issues ,Interoperability model ,Cloud providers "
25,Ubiquitous Augmented Cognition,Foundations of Augmented Cognition. Advancing Human Performance and Decision-Making through Adaptive Systems,,,,10.1007/978-3-319-07527-3_7,Anna SkinnerClementina RussoLisa BaranieckiMolly Maloof,2014,http://link.springer.com/chapter/10.1007/978-3-319-07527-3_7,Chapter,"HCI ,Augmented Cognition ,Ubiquitous Computing ,Pervasive Computing "
26,A Model for the Use of Social Paradigms in Mobile Ubiquitous Interactions,Universal Access in Human-Computer Interaction.   Access to Today's Technologies,,,,10.1007/978-3-319-20678-3_35,Vitor Santos,2015,http://link.springer.com/chapter/10.1007/978-3-319-20678-3_35,Chapter,"Mobile computing ,Context-aware computing ,Organization theory ,Knowledge systems "
27,Ubiquitous and Ambient Assisted Living eHealth Platforms for the Republic of Panama: Two Cases of Study,Ambient Intelligence for Health,,,,10.1007/978-3-319-26508-7_14,Juan Jose SaldañaLuis MendozaEdgardo PittiMiguel Vargas Lombardo,2015,http://link.springer.com/chapter/10.1007/978-3-319-26508-7_14,Chapter,"Ubiquitous computing ,eHealth ,Software engineering ,Palliative care ,Downs syndrome ,Ambient assisted living ,Cloud computing "
28,Characterizing Ubiquitous Systems Privacy Issues by Gender and Age,Ambient Assisted Living. ICT-based Solutions in Real Life Situations,,,,10.1007/978-3-319-26410-3_23,Gustavo LópezGabriela MarínMarta Calderón,2015,http://link.springer.com/chapter/10.1007/978-3-319-26410-3_23,Chapter,"Ambient intelligence ,Privacy ,Gender ,Age "
29,Establishing Guidelines for User Quality of Experience in Ubiquitous Systems,"Distributed, Ambient and Pervasive Interactions",,,,10.1007/978-3-319-39862-4_5,Deógenes Pereira da Silva JuniorPatricia Cristiane de SouzaCristiano Maciel,2016,http://link.springer.com/chapter/10.1007/978-3-319-39862-4_5,Chapter,"Ubiquitous systems ,User experience ,Guidelines "
30,Addressing the Users’ Diversity in Ubiquitous Environments through a Low Cost Architecture,Universal Access in Human-Computer Interaction. Aging and Assistive Environments,,,,10.1007/978-3-319-07446-7_43,Tatiana Silva de AlencarLuciano Rodrigues MachadoLuciano de Oliveira NerisVânia Paula de Almeida Neris,2014,http://link.springer.com/chapter/10.1007/978-3-319-07446-7_43,Chapter,"Ubiquitous Environment ,User Profile ,Ubiquitous Accessibility ,Context-Aware ,Adaptive Interface ,Raspberry PI "
31,ERP Costumer Assistance Using Ubiquitous Agents,"Mobile, Secure, and Programmable Networking",,,,10.1007/978-3-319-25744-0_5,Nardjes BouchemalRamdane MaamriZaidi Sahnoun,2015,http://link.springer.com/chapter/10.1007/978-3-319-25744-0_5,Chapter,"ERP ,Customer assistance ,Ubiquitous mobile agent "
32,Heuristics to Evaluate the Usability of Ubiquitous Systems,"Distributed, Ambient and Pervasive Interactions",,,,10.1007/978-3-319-58697-7_9,Larissa C. RochaRossana M. C. AndradeAndreia L. SampaioValéria Lelli,2017,http://link.springer.com/chapter/10.1007/978-3-319-58697-7_9,Chapter,"Heuristic evaluation ,Usability evaluation ,Qualitative evaluation ,Quality characteristic ,Ubiquitous systems "
33,A Method of Context-Based Services Discovery in Ubiquitous Environment,Context-Aware Systems and Applications,,,,10.1007/978-3-319-05939-6_26,Pallapa VenkataramM. Bharath,2014,http://link.springer.com/chapter/10.1007/978-3-319-05939-6_26,Chapter,"Ubiquitous computing ,Ubiquitous application ,CI-constructs ,Service discovery ,Context aware "
34,Towards Ubiquitous Services Design and Development Approach,"Distributed, Ambient and Pervasive Interactions",,,,10.1007/978-3-319-39862-4_1,Aicha AzouiDjilali Idoughi,2016,http://link.springer.com/chapter/10.1007/978-3-319-39862-4_1,Chapter,"Ubiquitous system ,Service orientation ,Ubiquitous service ,Ubiquitous requirements ,Design framework "
35,Modular System Development for Flexible Adoption of Ubiquitous Challenges in Energy Management and Control,Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services,,,,10.1007/978-3-319-13102-3_31,Daniel KretzTim NeumannMarek KretzschmarSebastian JunghansTobias Teich,2014,http://link.springer.com/chapter/10.1007/978-3-319-13102-3_31,Chapter,"OSGi ,virtualization ,ubiquitous information "
36,Design and Implementation of Disaster Information Alert System Using Python in Ubiquitous Environment,Advances in Computer Science and Ubiquitous Computing,,,,10.1007/978-981-10-0281-6_58,Jae-Pil LeeJae-Gwang LeeEun-su MoJun-hyeon LeeJae-Kwang Lee,2015,http://link.springer.com/chapter/10.1007/978-981-10-0281-6_58,Chapter,"Ubiquitous ,Disaster ,Beacon ,Flask ,SNS ,Crowd sensing "
37,Consistent Management of Context Information in Ubiquitous Systems,Internet and Distributed Computing Systems,,,,10.1007/978-3-319-11692-1_16,Gabriel Guerrero-ContrerasJosé Luis GarridoSara Balderas-DíazCarlos Rodríguez-Domínguez,2014,http://link.springer.com/chapter/10.1007/978-3-319-11692-1_16,Chapter,"Distributed resources ,context-awareness systems ,ubiquitous and pervasive computing ,Service Oriented Architecture (SOA) "
38,Factors Influencing the Quality of the User Experience in Ubiquitous Recommender Systems,"Distributed, Ambient, and Pervasive Interactions",,,,10.1007/978-3-319-07788-8_35,Nikolaos PolatidisChristos K. Georgiadis,2014,http://link.springer.com/chapter/10.1007/978-3-319-07788-8_35,Chapter,"Ubiquitous Computing ,Recommender Systems ,Quality Factors ,User Experience "
39,Exploring Arduino for Building Educational Context-Aware Recommender Systems that Deliver Affective Recommendations in Social Ubiquitous Networking Environments,Web-Age Information Management,,,,10.1007/978-3-319-11538-2_25,Olga C. SantosJesus G. Boticario,2014,http://link.springer.com/chapter/10.1007/978-3-319-11538-2_25,Chapter,"Contextual recommender systems ,Educational recommender systems ,Ubiquitous computing ,Affective computing ,Arduino ,Sensors ,Actuators ,ISO 9241-210 "
40,Integration and Evolution of Data Mining Models in Ubiquitous Health Telemonitoring Systems,"Mobile and Ubiquitous Systems: Computing, Networking, and Services",,,,10.1007/978-3-319-11569-6_57,Vladimer KobayashiPierre MaretFabrice MuhlenbachPierre-René Lhérisson,2014,http://link.springer.com/chapter/10.1007/978-3-319-11569-6_57,Chapter,"Ubiquitous systems ,Telemonitoring ,eHealth ,Data mining models "
41,"The Galois Complexity of Graph Drawing: Why Numerical Solutions Are Ubiquitous for Force-Directed, Spectral, and Circle Packing Drawings",Graph Drawing,,,,10.1007/978-3-662-45803-7_13,Michael J. BannisterWilliam E. DevannyDavid EppsteinMichael T. Goodrich,2014,http://link.springer.com/chapter/10.1007/978-3-662-45803-7_13,Chapter,"Galois Group ,Algebraic Number ,Computation Tree ,Galois Theory ,Irreducible Polynomial "
42,U-Stroke Pattern Modeling for End User Identity Verification Through Ubiquitous Input Device,Computer Information Systems and Industrial Management,,,,10.1007/978-3-319-24369-6_18,Tapalina BhattasaliNabendu ChakiKhalid SaeedRituparna Chaki,2015,http://link.springer.com/chapter/10.1007/978-3-319-24369-6_18,Chapter,"U-Stroke ,Smart device ,Touch screen ,Ubiquitous input device ,Identity verification "
43,Ubiquitous Robot: A New Paradigm for Intelligence,Intelligent Data Engineering and Automated Learning – IDEAL 2016,,,,10.1007/978-3-319-46257-8_22,Tiantian ZhangBo YuanTao MengYinghao RenHoude LiuXueqian Wang,2016,http://link.springer.com/chapter/10.1007/978-3-319-46257-8_22,Chapter,"Ubiquitous robot ,Middleware ,Intelligence ,Communication "
44,Neuroethics of Augmenting Human Memory Using Wearable Pervasive and Ubiquitous Technologies,"ICT Unbounded, Social Impact of Bright ICT Adoption",,,,10.1007/978-3-030-20671-0_1,Kuribachew Gizaw,2019,http://link.springer.com/chapter/10.1007/978-3-030-20671-0_1,Chapter,"Neuroethics ,Memory augmentation ,Wearable pervasive and ubiquitous devices "
45,Smart Textiles as Intuitive and Ubiquitous User Interfaces for Smart Homes,Human Aspects of IT for the Aged Population. Design for Everyday Life,,,,10.1007/978-3-319-20913-5_39,Julian HildebrandtPhilipp BraunerMartina Ziefle,2015,http://link.springer.com/chapter/10.1007/978-3-319-20913-5_39,Chapter,"Smart textiles ,Technology acceptance ,Design space ,User centered design ,Conjoint ,Smart home "
46,A Multi-agent Architecture to Support Ubiquitous Applications in Smart Environments,Agent Technology for Intelligent Mobile Services and Smart Societies,,,,10.1007/978-3-662-46241-6_9,Cristiano MacielPatricia Cristiane de SouzaJosé ViterboFabiana Freitas MendesAmal El Fallah Seghrouchni,2015,http://link.springer.com/chapter/10.1007/978-3-662-46241-6_9,Chapter,"Cloud Computing ,Smart City ,Context Data ,Ambient Intelligence ,Smart Environment "
47,Formal Specification and Verification Framework for Multi-domain Ubiquitous Environment,Service-Oriented Computing,,,,10.1007/978-3-319-46295-0_48,Mohamed HiliaAbdelghani ChibaniKarim DjouaniYacine Amirat,2016,http://link.springer.com/chapter/10.1007/978-3-319-46295-0_48,Chapter,"Ambient intelligence ,Ontology specification and modeling ,Theorem proving ,Isabelle/HOL ,Service composition "
48,Ubiquitous City Information Platform Powered by Fuzzy Based DSSs to Meet Multi Criteria Customer Satisfaction: A Feasible Implementation,Foundations of Intelligent Systems,,,,10.1007/978-3-319-25252-0_5,Alberto FaroDaniela Giordano,2015,http://link.springer.com/chapter/10.1007/978-3-319-25252-0_5,Chapter,"Intelligent systems ,Decision support systems ,Recommender systems ,Computing with words ,Mobile information systems "
49,A Context-Aware Framework for Mobile Computing Environment,Advances in Computer Science and Ubiquitous Computing,,,,10.1007/978-981-10-0281-6_47,Hoon-Kyu KimChoung-Seok KimKyung-Chang Kim,2015,http://link.springer.com/chapter/10.1007/978-981-10-0281-6_47,Chapter,"Context ,Context-awareness ,Context aware computing ,Context aware framework ,Mobile computing ,Sensor network ,Environment monitoring "
50,Development of Learner-Centric Teaching-Learning Application Model for Ubiquitous Learning,Advances in Computer Science and Ubiquitous Computing,,,,10.1007/978-981-10-0281-6_51,Ji-Hye BaeHyun Lee,2015,http://link.springer.com/chapter/10.1007/978-981-10-0281-6_51,Chapter,"Ubiquitous learning ,Android app ,App Inventor ,Learner-centric teaching-learning model "
51,Cryptanalysis of User Authentication Scheme Preserving Anonymity for Ubiquitous Devices,Advances in Computer Science and Ubiquitous Computing,,,,10.1007/978-981-10-0281-6_45,Dongwoo KangJongho MunDonghoon LeeDongho Won,2015,http://link.springer.com/chapter/10.1007/978-981-10-0281-6_45,Chapter,"Anonymity user authentication ,Smart card ,Network security ,Transition probability ,Stationary distribution "
52,Adaptive and Personalized Educational Ubiquitous Multi-Agent System Using Context-Awareness Services and Mobile Devices,Learning and Collaboration Technologies,,,,10.1007/978-3-319-20609-7_29,Oscar M. SalazarDemetrio A. OvalleNéstor D. Duque,2015,http://link.springer.com/chapter/10.1007/978-3-319-20609-7_29,Chapter,"Ubiquitous MAS ,Adaptive and personalized virtual courses ,Context-awareness services ,Mobile devices "
53,Ubiquitous Signaling System for Public Road Transport Network,Ubiquitous Computing and Ambient Intelligence,,,,10.1007/978-3-319-48799-1_49,Gabriel de BlasioAlexis Quesada-ArencibiaCarmelo Rubén García-RodríguezJezabel Miriam Molina-GilCándido Caballero-Gil,2016,http://link.springer.com/chapter/10.1007/978-3-319-48799-1_49,Chapter,"Ubiquitous computing ,Intelligent transport system ,Indoor positioning system "
54,Research on Open University Online Courses Learning Support Service (OCLSS) from the Perspective of Ubiquitous Learning,Blended Learning. New Challenges and Innovative Practices,,,,10.1007/978-3-319-59360-9_36,Xianyue WuYi QiuYouru XieHuiyan ZhangLihong Wu,2017,http://link.springer.com/chapter/10.1007/978-3-319-59360-9_36,Chapter,"Online courses ,Learning support service ,Ubiquitous learning "
55,Selection Optimization of Bloom Filter-Based Index Services in Ubiquitous Embedded Systems,Web Services – ICWS 2018,,,,10.1007/978-3-319-94289-6_15,Zhu WangChenxi LuoTiejian Luo,2018,http://link.springer.com/chapter/10.1007/978-3-319-94289-6_15,Chapter,
56,A Framework to Support Ubiquitous Healthcare Monitoring and Diagnostic for Sickle Cell Disease,Intelligent Computing Theories and Methodologies,,,,10.1007/978-3-319-22186-1_66,Mohammed KhalafAbir Jaafar HussainDhiya Al-JumeilyPaul FergusRussell KeenanNaeem Radi,2015,http://link.springer.com/chapter/10.1007/978-3-319-22186-1_66,Chapter,"Sickle cell disease ,Mobile healthcare service ,Real-time data ,Self-care management system ,E-Health "
57,Fuzzy Logic and Voronoi Diagram Using for Cluster Head Selection in Ubiquitous Sensor Networks,"Internet of Things, Smart Spaces, and Next Generation Networks and Systems",,,,10.1007/978-3-319-10353-2_28,Yahya Al-NaggarAndrey Koucheryavy,2014,http://link.springer.com/chapter/10.1007/978-3-319-10353-2_28,Chapter,"Ubiquitous Sensor Networks ,residual energy ,lifetime ,clustering ,Voronoi diagram ,Cluster Head Selection ,Fuzzy Logic "
58,3D Watertight Mesh Generation with Uncertainties from Ubiquitous Data,Computer Vision –  ACCV 2016,,,,10.1007/978-3-319-54190-7_23,Laurent CaraffaMathieu BrédifBruno Vallet,2017,http://link.springer.com/chapter/10.1007/978-3-319-54190-7_23,Chapter,"Point Cloud ,Mass Function ,Surface Reconstruction ,Robot Path Planning ,Space Occupancy "
59,Intelligent ERP Based Multi Agent Systems and Cloud Computing,Machine Learning for Networking,,,,10.1007/978-3-030-19945-6_27,Nardjes BouchemalNaila Bouchemal,2019,http://link.springer.com/chapter/10.1007/978-3-030-19945-6_27,Chapter,"Multi agent system ,Intelligent ERP ,Cloud computing ,JADE-Leap "
60,Interoperability in Electronic Health Records Through the Mediation of Ubiquitous User Model,Ubiquitous Computing and Ambient Intelligence,,,,10.1007/978-3-319-48746-5_19,Ma. Lourdes Martínez-VillaseñorLuis Miralles-PechuanMiguel González-Mendoza,2016,http://link.springer.com/chapter/10.1007/978-3-319-48746-5_19,Chapter,"Personal health records interoperability ,Electronic ,Health records interoperability ,Ubiquitous user modeling "
61,Reliable Publish/Subscribe in Dynamic Ubiquitous Systems,Ubiquitous Computing and Ambient Intelligence,,,,10.1007/978-3-319-48799-1_18,Ugaitz AmozarrainMikel Larrea,2016,http://link.springer.com/chapter/10.1007/978-3-319-48799-1_18,Chapter,"Wireless Sensor Network ,Span Tree ,Client Mobility ,Simple Routing ,Subscriber Mobility "
62,An Ubiquitous Service-Oriented Architecture for Urban Sensing,Agent Technology for Intelligent Mobile Services and Smart Societies,,,,10.1007/978-3-662-46241-6_1,Carlos O. RolimAnubis G. RossettoValderi R. Q. LeithardtGuilherme A. BorgesTatiana F. M. dos SantosAdriano M. SouzaCláudio F. R. Geyer,2015,http://link.springer.com/chapter/10.1007/978-3-662-46241-6_1,Chapter,"Urban Sensing ,Smart Cities ,Service-oriented architecture ,Ubiquitous "
63,Unlocking Value from Ubiquitous Data,"Information and Communication Technologies in Education, Research, and Industrial Applications",,,,10.1007/978-3-030-13929-2_1,Rajendra AkerkarMinsung Hong,2019,http://link.springer.com/chapter/10.1007/978-3-030-13929-2_1,Chapter,"Ubiquitous data ,Big data ,Data analytics ,Transport sector ,Smart city ,Emergency management "
64,Exploratory Subgroup Analytics on Ubiquitous Data,"Mining, Modeling, and Recommending 'Things' in Social Media",,,,10.1007/978-3-319-14723-9_1,Martin AtzmuellerJuergen MuellerMartin Becker,2015,http://link.springer.com/chapter/10.1007/978-3-319-14723-9_1,Chapter,"Quality Function ,Pattern Mining ,Target Concept ,Semantic Context ,Subgroup Discovery "
65,Ubiquitous Self-Organizing Map: Learning Concept-Drifting Data Streams,New Contributions in Information Systems and Technologies,,,,10.1007/978-3-319-16486-1_70,Bruno SilvaNuno Marques,2015,http://link.springer.com/chapter/10.1007/978-3-319-16486-1_70,Chapter,"self-organizing maps ,data streams ,concept drift ,sensor data ,clustering ,exploratory analysis "
66,Ubiquitous Individual Information Systems,Future Network Systems and Security,,,,10.1007/978-3-319-94421-0_15,Claris ChungKhushbu TilvawalaShohil KishoreGabrielle PekoAsfahaan MirzaDavid Sundaram,2018,http://link.springer.com/chapter/10.1007/978-3-319-94421-0_15,Chapter,
67,Using the GQM Method to Evaluate Calmness in Ubiquitous Applications,"Distributed, Ambient, and Pervasive Interactions",,,,10.1007/978-3-319-20804-6_2,Rainara M. CarvalhoRossana M. C. AndradeKáthia M. Oliveira,2015,http://link.springer.com/chapter/10.1007/978-3-319-20804-6_2,Chapter,"Ubiquitous applications ,Calmness ,Software measures ,GQM "
68,Ubiquitous Healthcare Systems: Improving the Adherence Level within Diabetic Medication Using Cloud-Based Reminder System,Human Interface and the Management of Information. Information and Knowledge Design,,,,10.1007/978-3-319-20612-7_51,Mohammed KalkattawiTatsuo Nakajima,2015,http://link.springer.com/chapter/10.1007/978-3-319-20612-7_51,Chapter,"Diabetes mellitus ,Multiple daily injections ,Medication adherence ,Ubiquitous health ,Mobile computing ,Smart devices ,Smart applications "
69,Software-Defined Networking for Ubiquitous Healthcare Service Delivery,"Broadband Communications, Networks, and Systems",,,,10.1007/978-3-030-05195-2_10,Foteini AndriopoulouKonstantinos BirkosGeorgios MantasDimitrios Lymberopoulos,2019,http://link.springer.com/chapter/10.1007/978-3-030-05195-2_10,Chapter,"Software defined network ,Body area networks ,Ubiquitous healthcare service delivery "
70,Towards Landmine Detection Using Ubiquitous Satellite Imaging,Advances in Visual Computing,,,,10.1007/978-3-319-50835-1_24,Sahar ElkazazMohamed E. HusseinAhmed El-MahdyHiroshi Ishikawa,2016,http://link.springer.com/chapter/10.1007/978-3-319-50835-1_24,Chapter,"Satellite Image ,Random Guesser ,Ground Penetration Radar ,Image Prior Model ,Thermal Satellite Image "
71,Legal Issues and User Experience in Ubiquitous Systems from a Privacy Perspective,"Human Aspects of Information Security, Privacy, and Trust",,,,10.1007/978-3-319-20376-8_40,Patricia C. de SouzaCristiano Maciel,2015,http://link.springer.com/chapter/10.1007/978-3-319-20376-8_40,Chapter,"Privacy ,User experience ,Legal aspects ,Ubiquitous systems "
72,Handling ECG Vital Signs in Personalized Ubiquitous Telemedicine Services,"Broadband Communications, Networks, and Systems",,,,10.1007/978-3-030-05195-2_9,Maria PapaioannouGeorge MandellosTheodor PanagiotakopoulosDimitrios Lymperopoulos,2019,http://link.springer.com/chapter/10.1007/978-3-030-05195-2_9,Chapter,"SCP-ECG protocol ,Telemedicine services "
73,Security Policy Model for Ubiquitous Social Systems,Modeling and Using Context,,,,10.1007/978-3-319-57837-8_24,Vladimir JovanovikjDušan GabrijelčičTomaž Klobučar,2017,http://link.springer.com/chapter/10.1007/978-3-319-57837-8_24,Chapter,"Security ,Context ,Security policy ,Ubiquitous computing ,Consumerization of IT ,Mobile devices "
