title,journal,year,keywords
Understanding continued ubiquitous decision support system usage behaviour,Telematics and Informatics,2015,"Ubiquitous decision support system (UDSS), Connectivity, Context-awareness function, Perceived value, Ubiquitous delivery system (UDS), Scanphone"
UDPF: A unified data provision framework for developing dynamic resource-oriented embedded applications,Journal of Systems Architecture,2017,"Resources-oriented architecture, Dynamic software update, Embedded application, Ubiquitous computing"
EXEHDA-HM: A compositional approach to explore contextual information on hybrid models,Future Generation Computer Systems,2017,"Ubiquitous computing, Context awareness, Context processing, Hybrid context model"
Urban Security System Based on Quadrants,Procedia Computer Science,2015,"Urban Computing, ubiquitous computing, recommender system, mobile application, urban security."
Conceptual Framework for Ubiquitous Cyber-Physical Assembly Systems in Airframe Assembly⁎⁎The authors gratefully acknowledge the support provided by UK EPSRC Evolvable Assembly Systems (EP/K018205/1),IFAC-PapersOnLine,2018,"Adaptive Systems, Agents, Agile Manufacturing, Context-Awareness, Flexible Manufacturing Systems, Intelligent Manufacturing Systems, Ubiquitous Computing"
XSACd—Cross-domain resource sharing & access control for smart environments,Future Generation Computer Systems,2018,"Access control, Authorization, Web Services, Service-oriented architectures, Ubiquitous computing"
Energy aware simulation and testing of smart-spaces,Information and Software Technology,2020,"Ubiquitous computing systems, Smart-spaces, Minimal energy context move, Energy-aware simulation and testing"
A review of the smart world,Future Generation Computer Systems,2019,"Smart world, Ubiquitous computing, Ambient intelligence, Cyber–physical–social-thinking, Internet of Things"
Development of a Conceptual Framework for Improving Safety for Pedestrians Using Smartphones While Walking: Challenges and Research Needs,Procedia Manufacturing,2015,"Pedestrian safety, Human-computer interaction, Mobile device, Interaction design"
Adaptive mobile activity recognition system with evolving data streams,Neurocomputing,2015,"Ubiquitous computing, Mobile application, Activity recognition, Stream mining, Incremental learning, Active learning"
The Programmable City,Procedia Computer Science,2015,"Ubiquitous Computing, Programming Languages, Macroprogramming, Internet of Things"
Adaptive power management scheme using many-core for maximizing network topology lifetime based on ubiquitous computing,Journal of Systems Architecture,2017,"Power management, Topology lifetime, Ubiquitous computing, Cloud infrastructure, Graphic processing unit"
Engineering context-aware systems and applications: A survey,Journal of Systems and Software,2016,"Context-Aware Systems Engineering, Context-aware computing, Context-awareness, Context-sensitive, Sentient computing, Pervasive & Ubiquitous Computing, Intelligent Environments, Ambient Intelligence, Software engineering"
Remotely programmable architecture of a multi-purpose physiological recorder,Microprocessors and Microsystems,2016,"e-health, Home care, Distributed systems, Pervasive health monitoring, Ubiquitous computing"
Synchronized production and logistics via ubiquitous computing technology,Robotics and Computer-Integrated Manufacturing,2017,"Ubiquitous manufacturing, Synchronized production and logistics, RFID"
A multidimensional framework to study situation awareness in u-learning systems,Telematics and Informatics,2019,"Ubiquitous computing, Learning systems, Situation awareness knowledge, Analysis framework"
A fuzzy collaboration system for ubiquitous loading/unloading space recommendation in the logistics industry,Robotics and Computer-Integrated Manufacturing,2017,"Loading/unloading space, Recommendation, Location-based social network, Ubiquitous computing, Location-based service"
HMM as an Inference Technique for Context Awareness,Procedia Computer Science,2015,"context awareness, hmm"
"Urban computing in the wild: A survey on large scale participation and citizen engagement with ubiquitous computing, cyber physical systems, and Internet of Things",International Journal of Human-Computer Studies,2015,"Urban computing, Large-scale participation, Cyber-physical systems, Internet of Things, Smartphones, Human in the loop, Public displays, Urban probes, Public spectacle, Urban interventions, Crowdsourcing, Crowdsensing, Ubiquitous computing"
A Framework of the Intelligent Plant Factory System,Procedia Computer Science,2018,"Intelligent system, ubiquitous computing, plant factory"
Energy-efficient algorithms for data retrieval from indexed parallel broadcast channels,Sustainable Computing: Informatics and Systems,2017,"Algorithm/protocol design and analysis, Query processing, Retrieval models, Ubiquitous computing, Energy management, Broadcasting"
Surfing the third wave of computing: A framework for research into eObjects,Computer Law & Security Review,2015,"Ubiquitous computing, Pervasive computing, Internet of Things, Ambient intelligence, Mobile computing, Technology regulation, eObjects"
3D network-on-chip design for embedded ubiquitous computing systems,Journal of Systems Architecture,2017,"Ubiquitous computing, Networks-on-chip, Multi-cores processors"
ProFUSO: Business process and ontology-based framework to develop ubiquitous computing support systems for chronic patients’ management,Journal of Biomedical Informatics,2018,"Data architecture, Chronic disease management, Ubiquitous health (u-health) services, Clinical decision support systems (CDSS), Ubiquitous computing, Interoperability"
The moderating role of prior experience in technological acceptance models for ubiquitous computing services in urban environments,Technological Forecasting and Social Change,2015,"Ubiquitous computing, Technological acceptance model (TAM), Urban environments, Structural equation modeling"
A Proposed Model for the Approach to Augmented Reality Deployment in Marketing Communications,Procedia - Social and Behavioral Sciences,2015,"Augmented reality, virtual reality, digital mediation, ubiquitous computing, digital marketing"
Context Data Categories and Privacy Model for Mobile Data Collection Apps,Procedia Computer Science,2018,"ubiquitous computing, context-aware computing, psychometrics, sensor data"
Privacy-preserved distinct content collection in human-assisted ubiquitous computing systems,Information Sciences,2019,"Local differential privacy, Distinct value estimation, Distributed data collection, Security"
End-User Composition of Graphical User Interfaces for PalCom Systems,Procedia Computer Science,2016,"end-user composition, graphical user interfaces, middleware, development tools, PalCom, ubiquitous computing, distributed systems"
EOG-based eye tracking protocol using baseline drift removal algorithm for long-term eye movement detection,Expert Systems with Applications,2019,"Human–computer interaction, Ubiquitous computing, Pattern recognition, Signal processing systems, Electrooculography"
Al-Yad: A Wearable Sensor Network over DDS Middleware for Industrial Application,Procedia Computer Science,2015,"AlYad, RTI, DDS, RIT Connext DDS, ubiquitous computing, Internet of Things, Embedded systems."
CBR-based negotiation RBAC model for enhancing ubiquitous resources management,International Journal of Information Management,2017,"Information management, Role assignment management, Case-based reasoning management, RBAC, Negotiation-based RBAC, Ubiquitous RBAC"
Towards a griddable distributed manufacturing system with augmented reality interfaces,Robotics and Computer-Integrated Manufacturing,2016,"Augmented reality, Manufacturing grid, Manufacturing system, Smart objects, Ubiquitous computing"
Semantic-based Approach to Context Management in Ubiquitous Environment,Procedia Computer Science,2017,"Context modeling, Context management, Context-aware service, Ontology, Ubiquitous Computing"
Continuous authentication of smartphone users based on activity pattern recognition using passive mobile sensing,Journal of Network and Computer Applications,2018,"Activity pattern recognition, Behavioral biometrics, Continuous authentication, Mobile sensing, Smartphone user recognition, Ubiquitous computing"
Smart Sensors from Ground to Cloud and Web Intelligence,IFAC-PapersOnLine,2018,"internet of things, ubiquitous computing, embedded intelligence, precision irrigation"
A Semantic Framework for Continuous U-health Services Provisioning,Procedia Computer Science,2015,"Ubiquitous Health, Semantic Web, Context-Awareness, Ubiquitous Health Services, Business Process Management."
A distributed event-driven architectural model based on situational awareness applied on internet of things,Information and Software Technology,2019,"Distributed architectural model, Situational awareness, Internet of things, Event processing, Information security"
Measurement of Cognitive Load in HCI Systems Using EEG Power Spectrum: An Experimental Study,Procedia Computer Science,2016,"Human Computer Interaction, Cognitive Load, EEG, Power Spectrum Analysis"
RapIoT toolkit: Rapid prototyping of collaborative Internet of Things applications,Future Generation Computer Systems,2019,"Internet of Things, IoT, Ubiquitous computing, Development, Toolkit, Smart cities"
Applied Motion Analysis on TUI Design for Lovers Cooking Together,Procedia Manufacturing,2015,"TUI, CSCC, Lover, Intimacy"
Trust-based Context-aware Authentication System for Ubiquitous Systems,Procedia Computer Science,2018,"Ubiquitous systems, Context-awareness, Authentication, Trust management"
Unsupervised labelling of sequential data for location identification in indoor environments,Expert Systems with Applications,2016,"Unsupervised labelling, Sequential data, Indoor positioning, Ubiquitous computing, Graphical models"
Network selection based on available link bandwidth in multi-access networks,Digital Communications and Networks,2016,"2G, 3G, Heterogeneous networks, Bootstrap approximation, Available bandwidth"
Understanding media multiplicities,Entertainment Computing,2018,"Media multiplicities, Digital interactive media, Internet of things, Ubiquitous computing"
Ubiquitous auction learning system with TELD (Teaching by Examples and Learning by Doing) approach: A quasi-experimental study,Computers & Education,2017,"Internet-of-Things (IoT), Auction ubiquitous learning (u-learning) system, Teaching by Examples and Learning by Doing (TELD), Quasi-experimental design"
Identifying Smartphone Users based on their Activity Patterns via Mobile Sensing,Procedia Computer Science,2017,"Activity Recognition, Behavioral Biometrics, Continuous Sensing, Mobile Device Security, Data Privacy, Mobile Sensing, Ubiquitous Computing, User Identification"
Intelligent context-awareness system for energy efficiency in smart building based on ontology,Sustainable Computing: Informatics and Systems,2019,"Smart building, Energy efficiency, Ontology, Context-awareness, Building energy management system"
Developing for non-human users: Reflecting on practical implications in the ubiquitous computing era,Journal of Industrial Information Integration,2019,"Animal-computer interaction, User-centered design, Requirements engineering, Technology development"
Souk: Spatial Observation of Human Kinetics,Computer Networks,2016,"Human-centered computing, Reliability and robustness, Human mobility modeling, Ubiquitous computing, Mobile computing"
"Privacy and Security in Internet-based Computing: Cloud Computing, Internet of Things, Cloud of Things: a review",Procedia Computer Science,2017,"Cloud Computing, Internet Of Things, Cloud of things, security, privacy, confidentiality"
"Human–computer interaction, foundations and new paradigms",Journal of Visual Languages & Computing,2017,"Human–computer interaction, History, ubiquitous computing, Cloud-computing, Design for solitude, Digital fabrication"
uBPMN: A BPMN extension for modeling ubiquitous business processes,Information and Software Technology,2016,"Business process modeling, Ubiquitous business process, Ubiquitous computing, uBPMN"
Personalised assistance for fuel-efficient driving,Transportation Research Part C: Emerging Technologies,2015,"Green driving, Driving assistance, Ubiquitous computing, Context-awareness, Context reasoning"
Accessing enterprise knowledge: A context-based approach,CIRP Annals,2016,"Knowledge management, Knowledge based system, Context-awareness"
Enabling manual assembly and integration of aerospace structures for Industry 4.0 - methods,Procedia Manufacturing,2017,"Industry 4.0, manual assembly, smart computing"
Real-world large-scale study on adaptive notification scheduling on smartphones,Pervasive and Mobile Computing,2018,"Attention-awareness, Interruptibility, Notification, Mobile sensing, Smartphone"
All-Or-Nothing data protection for ubiquitous communication: Challenges and perspectives,Information Sciences,2019,"AON, Data security, Clouds computing, Ubiquitous computing, Multimedia security"
Spatial analysis and data mining techniques for identifying risk factors of Out-of-Hospital Cardiac Arrest,International Journal of Information Management,2017,"Out-of-Hospital Cardiac Arrest (OHCA), Emergency medical service (EMS), Factor analysis, Spatial analysis, Data mining"
A Novel Detection Intrusion Approach for Ubiquitous and Pervasive Environments,Procedia Computer Science,2016,"Ubiquitous computing, Intrusion detection system (IDS), Security, Trust"
An overview of a novel analysis approach for enhancing context awareness in smart environments,Information and Software Technology,2019,"Ubiquitous computing, Context-aware applications, Analysis task, Analysis module, Smart building, Water consumption"
Future living framework: Is blockchain the next enabling network?,Technological Forecasting and Social Change,2018,"Blockchain, Smart cities, Urban technologies, Urban networks, New urban agenda, Quito implementation plan"
“Fortune at the Bottom of the Classifier Pyramid”: A Novel Approach to Human Activity Recognition,Procedia Computer Science,2015,"Smart Homes, Sensor Networks, Middleware, Ubiquitous Computing, Machine Learning, Naive Bayes (NB), Activity Recognition, Activity of Daily Living, Text Classification"
An intelligent system for prognosis of noncommunicable diseases’ risk factors,Telematics and Informatics,2018,"Ubiquitous computing, Mobile computing, Bayesian Networks, Chronic disease"
A conceptual perspective on interoperability in context-aware software systems,Information and Software Technology,2019,"Interoperability, Context-aware software systems, Internet of Things, Contemporary software systems, Ubiquitous computing, -systematic literature review, Evidence-based software engineering"
Fair signature exchange via delegation on ubiquitous networks,Journal of Computer and System Sciences,2015,"Ubiquitous computing, Fair exchange, Signature, Communication protocol"
Domain content querying using ontology-based context-awareness in information systems,Data & Knowledge Engineering,2018,"Ontology, Context-awareness, Information systems, Ubiquitous computing"
Spontaneous Social Network: toward dynamic virtual communities based on context-aware computing,Expert Systems with Applications,2018,"Grouping mechanism, Virtual community, Social network, Context awareness, Mobile computing, Ubiquitous computing"
"Digitally connected, socially disconnected: The effects of relying on technology rather than other people",Computers in Human Behavior,2017,"Happiness, Human-computer interaction, Cyberpsychology, Social behavior, Well-being, Ubiquitous computing, Pervasive connectivity"
"Past experiences, current practices and future design: Ethnographic study of aging adults' everyday ICT practices — And how it could benefit public ubiquitous computing design",Technological Forecasting and Social Change,2015,"Reflexive ethnography, Socio-cultural aging, Human–(non)human boundary-making, Temporalities, Public ubiquitous computing design"
Towards a Middleware for Resource Sharing in Collaboration of Pervasive Computing,Procedia Computer Science,2015,"PRIM, Pervasive Computing, Middleware, Cluster"
A survey: Cyber-physical-social systems and their system-level design methodology,Future Generation Computer Systems,2016,"Cyber-physical-social systems, System-level design, Design methodology"
"Ubiquitous manufacturing: Current practices, challenges, and opportunities",Robotics and Computer-Integrated Manufacturing,2017,"Ubiquitous computing, Ubiquitous manufacturing, Cyberphysical system, Sensor, Industry 4.0"
Disruptive data visualization towards zero-defects diagnostics,Procedia CIRP,2018,"Disruptive data visualization, Zero-defects diagnostics, Manufacturing systems, industry 4.0, IoT"
Smart vending machines in the era of internet of things,Future Generation Computer Systems,2017,"Mobile communication systems, Payment schemes, Pervasive computing, Ubiquitous computing, Authentication, Web-based services"
Learning occupants’ workplace interactions from wearable and stationary ambient sensing systems,Applied Energy,2018,"Machine learning, Workplace interaction, Interaction detection, Occupant behavior modeling, Ubiquitous computing, Buildings energy efficiency"
Pri-RTB: Privacy-preserving real-time bidding for securing mobile advertisement in ubiquitous computing,Information Sciences,2019,"Real-time bidding, Online behavioral advertising, Homomorphic encryption"
Ubiquitous Citizen Programming,Procedia Computer Science,2016,"Citizen Programming, Ubiquitous Computing, Data Society"
Exploiting the Potential and Facing the Challenges of Mobile Devices: Application Examples,Procedia Manufacturing,2015,"Apps, M-health, M-learning, Smartphones, Tablets"
The role of media dependency in predicting continuance intention to use ubiquitous media systems,Information & Management,2017,"Media system dependency theory, Goal-oriented dependency, User behavior, Continuance usage, Ubiquitous information systems, Digital ecosystems, Mobile technologies"
Detecting unfair recommendations in trust-based pervasive environments,Information Sciences,2019,"Pervasive computing, Ubiquitous computing, Trust model, Unfair recommenders, Reputation systems, Unfair recommender-data, Association rules, Apriori algorithm"
Midgar: Study of communications security among Smart Objects using a platform of heterogeneous devices for the Internet of Things,Future Generation Computer Systems,2017,"Internet of Things, Privacy, Security, Cryptography, Ubiquitous computing, Smart Objects, Communications"
Cyclist-aware traffic lights through distributed smartphone sensing,Pervasive and Mobile Computing,2016,"Smartphone sensing, Distributed model, Power consumption, Time-of-arrival estimation"
Towards gadget-free internet services: A roadmap of the Naked world,Telematics and Informatics,2018,
Querytogether: Enabling entity-centric exploration in multi-device collaborative search,Information Processing & Management,2018,"Collaborative search, Exploratory search, Co-located search, Multi-device"
DynMAC: A resistant MAC protocol to coexistence in wireless sensor networks,Computer Networks,2015,"Wireless sensor network, Dynamic channel reconfiguration, Coexistence, Cognitive radio"
Design of a secure smart card-based multi-server authentication scheme,Journal of Information Security and Applications,2016,"Multi-server environment, Authentication, Smart card, Security, BAN logic, AVISPA"
Smart Socket for Electricity Control in Home Environment,Procedia Computer Science,2019,"Smart Home, Internet of Things, Electricity Control, Smart Socket"
Pervasive Business Intelligence: A New Trend in Critical Healthcare,Procedia Computer Science,2016,"Pervasive, Pervasive computing, Pervasive Business Intelligence, Pervasive Healthcare, Pervasive Systems, Ubiquitous Systems"
A multi-agent approach: To preserve user information privacy for a pervasive and ubiquitous environment,Egyptian Informatics Journal,2015,"Pervasive computing, Privacy, Security, Multi-agent, Hash Diff Anomaly Detection and Prevention (HDAD)"
Networks of innovation: the sociotechnical assemblage of tabletop computing,Research Policy: X,2019,"Innovation network, Actor-network theory, Sociotechnical assemblage, Tabletop computing"
Application for Impact Position Evaluation in Tennis Using UWB Localization,Procedia Computer Science,2019,"UWB localization, optical tracking system, inertial sensors, impact position, tennis, augmented feedback, sport analytics"
Wearable sensors and smart equipment for feedback in watersports,Procedia Computer Science,2018,"wearable sensors, smart sport equipment, feedback system, watersports"
Agent-based simulation of unmanned aerial vehicles in civilian applications: A systematic literature review and research directions,Future Generation Computer Systems,2019,"Multi-agent systems, Agent-based simulation, Unmanned aerial vehicle, Systematic literature review, Civilian applications"
Patient Monitoring System Based on Internet of Things,Procedia Computer Science,2016,"Internet of Things, Ontology, E-Health, Context Awareness"
Big Data and virtualization for manufacturing cyber-physical systems: A survey of the current status and future outlook,Computers in Industry,2016,"Sensor-based real-time monitoring, Big Data, Internet of things, Cloud computing, Manufacturing cyber-physical systems"
On the use of distributed semantics of tweet metadata for user age prediction,Future Generation Computer Systems,2020,"Social media mining, Twitter, Convolutional neural networks, Age prediction"
Contextual preference mining for user profile construction,Information Systems,2015,"Pattern mining, Preference elicitation, Contextual preference rule, User profile mining"
Towards a Disease Outbreak Notification Framework Using Twitter Mining for Smart Home Dashboards,Procedia Computer Science,2016,"Social Media Mining, Internet of Things, Human-Computer Interaction, User Interfaces"
Intelligent assistant system as a context-aware decision-making support for the workers of the future,Computers & Industrial Engineering,2019,"Context-awareness, Decision-aid system, Factory of the future, Knowledge management, PGD"
DC coefficient recovery for JPEG images in ubiquitous communication systems,Future Generation Computer Systems,2019,"Multimedia data transmission, Error recovery, DCT, JPEG, Fault tolerance"
"Real people, virtual places, and the spaces in between",Socio-Economic Planning Sciences,2017,"Cyberspace, Virtual space, Virtual places, Cybercrime, Surveillance"
Blood Pressure Monitoring System using Wireless technologies,Procedia Computer Science,2019,"Drug Delivery System, Fuzzy Inference System, Mean Arterial Blood Pressure, Sodium Nitroprusside, Maximum a posteriori estimators"
Interest spaces: A unified interest-based dissemination framework for opportunistic networks,Journal of Systems Architecture,2017,"Opportunistic, Mobile, Dissemination, Framework, Interests, Social, Context-aware"
Spatial Connector: Mapping Access Control Models for Pervasive Computing and Cloud Computing,Procedia Computer Science,2017,"Access control model, context-awareness, cloud computing"
Discriminate protein decoys from native by using a scoring function based on ubiquitous Phi and Psi angles computed for all atom,Journal of Theoretical Biology,2016,"Protein structure prediction, Decoy structure, Native structure, Genetic Algorithm, Optimization"
SAFIR: Secure access framework for IoT-enabled services on smart buildings,Journal of Computer and System Sciences,2015,"Internet of things, Smart buildings, Security framework, User-centric services"
Exploiting IoT technologies for enhancing Health Smart Homes through patient identification and emotion recognition,Computer Communications,2016,"Smart Home, E-health, Internet of Things, Face recognition, Emotion detection"
Even Driven Multimodal Augmented Reality based Command and Control Systems for Mining Industry,Procedia Computer Science,2019,"Multimodal Learning, Augmented Reality (AR), CEP, Command, Control, Mining"
Effect of experience sampling schedules on response rate and recall accuracy of objective self-reports,International Journal of Human-Computer Studies,2019,"Experience sampling method, ESM, Ecological momentary assessment, EMA, Self-report, Smartphone, Contingency, Response rate, Accuracy, Mobile questionnaires, Data quality, Validation"
The effect of mobile retailing on consumers' purchasing experiences: A dynamic perspective,Computers in Human Behavior,2016,"Mobile marketing, Mobile retailing, Technology management, Consumption experience, Consumer behaviour"
Context awareness in biometric systems and methods: State of the art and future scenarios,Image and Vision Computing,2018,"Biometric systems, Context-awareness, Context-adaptive biometrics, State of the art survey"
From ephemeral computing to deep bioinspired algorithms: New trends and applications,Future Generation Computer Systems,2018,"Ephemeral computing, Bioinspired algorithms, Complex systems, Deep bioinspired architectures"
Development Trends in Robotics,IFAC-PapersOnLine,2016,"Robots, Control, Roboethics, Social aspects"
Attention-based Recurrent Neural Network for Urban Vehicle Trajectory Prediction,Procedia Computer Science,2019,"Vehicle Trajectory, Trajectory Prediction, Recurrent Neural Network, Attention Mechanism, Network Traffic State"
TrailCare: An indoor and outdoor Context-aware system to assist wheelchair users,International Journal of Human-Computer Studies,2018,"Indoor/outdoor location system, Trail-aware system, Smart wheelchair, Ubiquitous accessibility"
Challenges and requirements for communication technologies in connected zones,Procedia Computer Science,2019,"Connected zone, smart zone, smart cities, communication technologies, communication challenges, communication requirements"
Complex activity recognition using time series pattern dictionary learned from ubiquitous sensors,Information Sciences,2016,"Complex activity recognition, Mobile and ubiquitous environment, Sensor, Shapelet, Time series, Modeling"
Research and application of virtual user context information security strategy based on group intelligent computing,Cognitive Systems Research,2018,"Virtual user context, PCA, BP neural network, Genetic algorithm, Group-intelligent-computing, Public-opinion-dissemination"
Measurements of Eye Movement and Teachers’ Concentration during the Preparation of Teaching Materials,Procedia Computer Science,2019,"active learning, e-learning, eye blinking behaviors, blinking strength, blinking speed, concentration power"
A ferry-assisted solution for forwarding function in Wireless Sensor Networks,Pervasive and Mobile Computing,2015,"Ad hoc network, Performance evaluation, Cross-layer architecture, Ferry, Sensor, Cognitive radio"
Mobile phone sensors and supervised machine learning to identify alcohol use events in young adults: Implications for just-in-time adaptive interventions,Addictive Behaviors,2018,"Alcohol, Smartphone sensors, Machine learning, AWARE app"
Intelligent temporal classification and fuzzy rough set-based feature selection algorithm for intrusion detection system in WSNs,Information Sciences,2019,"Intrusion detection system, Feature selection, Allen’s interval algebra, Fuzzy rough set, Nearest neighborhood, Biased dataset, Wireless sensor networks"
Extended interval type-II and kernel based sparse representation method for face recognition,Expert Systems with Applications,2019,"Fuzzy logics, Kernel methods, Sparse representation, Face recognition"
Use of Sociology Concepts as the Basis of a Model for Improving Accessibility in Smart Cities,Procedia Computer Science,2015,"context-aware computing, mobile computing, organization theory, knowledge representation ;"
Mining intricate temporal rules for recognizing complex activities of daily living under uncertainty,Pattern Recognition,2016,"Complex activity recognition, Propositional logic rule, Semantics, Pattern mining, Markov logic network, Uncertainty, Intricate relation"
Contexts enabled Decision Making using sensors to perceive pervasive environment,Procedia Computer Science,2018,"Context Aware Computing, Pervasive Environment, Automated Decision Making, Wireless Sensor Networks"
"Powerful knowledge, technology and education in the future-focused good society",Technology in Society,2018,"Good Society, Powerful knowledge, Vertical discourse, Augmented reality, Technology, Education, TPACK"
Exploiting Semantic Web Services in the Development of Context-Aware Systems,Procedia Computer Science,2018,"Semantic Web service, Discovery, selection, Context, Situation, Qos Properties"
Interfaces for Distributed Remote User Controlled Manufacturing: Working Individually or in Collaborative Group?,Procedia Manufacturing,2015,"Distributed remote user controlled manufacturing system, Usability evaluation measures, “Wall” and “Window” Interface"
A signaling game-based approach for Data-as-a-Service provisioning in IoT-Cloud,Future Generation Computer Systems,2019,"IoT, QoD, IoT-Cloud, Signaling game, Multi-attribute decision-making, Entropy"
Exploring the potential of a mobile eye tracker as an intuitive indoor pointing device: A case study in cultural heritage,Future Generation Computer Systems,2018,"Mobile eye tracking, Museum visitors guide"
A Bibliometric Review about Adaptivity,Procedia Computer Science,2018,"adaptivity, bibliometric study"
Community Reminder: Participatory contextual reminder environments for local communities,International Journal of Human-Computer Studies,2017,"Mobile crowdsourcing, Community, Context awareness, Reminder, Participation"
VRSense: Validity region sensitive query processing strategies for static and mobile point-of-interests in MANETs,Computer Communications,2018,"Location-based services, Mobile ad hoc networks, Point-of-interest, Query processing, Validity region"
Supporting end users to control their smart home: design implications from a literature review and an empirical investigation,Journal of Systems and Software,2018,"Ambient intelligence, Internet of things, Smart home, Rule-based paradigm, End-user development"
Past and future of software architectures for context-aware systems: A systematic mapping study,Journal of Systems and Software,2018,"Human-computer interaction, User, Platform, Environment, Quality of adaptation, Quasi-gold standard"
EyeCom-An Innovative Approach for Computer Interaction,Procedia Computer Science,2019,"IoT, Wearable technology, Smart glasses"
The Direction of Lightweight Ciphers in Mobile Big Data Computing,Procedia Computer Science,2015,"Big Data Computing, Cipher, Cloud Computing, Lightweight, Mobile Computing"
The Synchronization of Data Collection for Real-time Group Recognition,Procedia Computer Science,2018,"Group recognition, Synchronization, Real-time, Trajectory Interpolation"
IoT and A Sustainable City,Energy Procedia,2018,"IoT, bicycle sharing system, green transportation, sustainable city"
Energy efficient distributed cluster head scheduling scheme for two tiered wireless sensor network,Egyptian Informatics Journal,2015,"Energy efficiency, Wireless sensor network, Cluster head selection, RSSI"
Human Computer Interaction using Hand Gesture,Procedia Computer Science,2015,"Gestures recognition, Gesture technologies, Human-computer interaction, Static hand gesture, Vision-based gesture recognition."
"Intelligent building, definitions, factors and evaluation criteria of selection",Alexandria Engineering Journal,2018,"Smart cities, Sustainability, Energy consumption, Intelligent buildings"
Fuzzy extended Kalman filter for dynamic mobile localization in urban area using wireless network,Applied Soft Computing,2017,"Estimator, Fuzzy inference system, Kalman filter, Mobile positioning, Wireless network"
Human-CPS Interaction - requirements and human-machine interaction methods for the Industry 4.0,IFAC-PapersOnLine,2016,"Human-centered design, cyber-physical systems, user requirements, mobile systems, Industry 4.0"
Survey-based exploration of attitudes to participatory sensing tasks in location-based gaming communities,Pervasive and Mobile Computing,2016,"Participatory sensing, Mobile sensing systems, Incentives"
A survey on cost-effective context-aware distribution of social data streams over energy-efficient data centres,Simulation Modelling Practice and Theory,2019,"Social Data Streams, Social Media, Social Networks, Contextaware, Content Distribution, Multimedia Content, Energy-efficient, Data Centers, 5G, Infrastructure, Cost-effective"
A systematic review on the engineering of software for ubiquitous systems,Journal of Systems and Software,2016,"Empirical software engineering, Evidence-based software engineering, Systematic review, Research synthesis, Software development cycle, Ubiquitous systems, Development methods, Pervasive systems"
ARService: A Smartphone based Crowd-Sourced Data Collection and Activity Recognition Framework,Procedia Computer Science,2018,"Activity recognition, mobile sensors, performance analysis"
