title,journal,year,abstract
Discussion on Pervasive Computing Paradigm,TENCON 2005 - 2005 IEEE Region 10 Conference,2005,"Pervasive/ubiquitous computing is considered as the next generation of computing and IT technology (Amor, 2001; Saha et al., 2003). As such an important computing technology, what its computing paradigm should be? For the present network computing, its computing paradigms such as client-server, message passing and the recent peer-to-peer are well known. Are the network computing paradigms suitable and sufficient to the ""anytime, anywhere and any format, human-centered"" pervasive computing? This paper will analyzed the existing computing paradigms of the present and past generation of computing technologies. Based on the analysis and the unique feature of pervasive computing, a new computing paradigm, <i>master-</i> <i>server</i> <i>paradigm</i> is proposed. In terms of the new paradigm, a pervasive computing based multimodal tele-home healthcare system is designed."
A Pervasive Computing Curriculum for Engineering and Science Students,,2007,"Today, there's an urgent need for well-trained pervasive computing engineers and scientists. Pervasive computing has evolved into a critical field, influencing a broad range of industries from healthcare to manufacturing to defense. However, most computer engineering and computer science programs pay marginal attention, at best, to the field. In this issue, the authors of the Rochester Institute of Technology describes a set of courses on pervasive computing topics and a supporting laboratory designed for both computer engineering and computer science students"
Wearable and ubiquitous computing,,2003,"Describes a course on wearable and ubiquitous computing. It has been taught twice at Virginia Tech. The article describes the course's scope, assignments and grading, and design projects."
Broadband access device and user interface design for ubiquitous computing: perspective from a service provider,2006 1st International Symposium on Wireless Pervasive Computing,2006,"Devices such as cell phones, smart phones, personal digital assistants, are increasing in number. These devices have become almost indispensable in our modern society. In spite of the proliferation of these devices, the design is done by device manufactures with little interaction or input from the service providers. This paper is intended to provide a brief glimpse into the design thought process from the perspective of a service provider. A series of scenarios will be discussed that can be used to generate user requirements for a universal access device. The traditional design approach is then discussed and the perspective of the service provider is presented."
Context-based secure resource access in pervasive computing environments,"IEEE Annual Conference on Pervasive Computing and Communications Workshops, 2004. Proceedings of the Second",2004,"We present a system architecture for supporting ubiquitous computing for mobile users across different environments by transparently performing context-based discovery and binding of resources. A ubiquitous computing environment is viewed as a collaboration space among mobile users, system services, and sensors/resources embedded in the physical environment. We present here different policies for binding resources to names in this space. We also present a role based specification model for defining activities."
"Context Awareness, the Spirit of Pervasive Computing",2006 First International Symposium on Pervasive Computing and Applications,2006,"Summary form only given. The main ideas of pervasive/ubiquitous computing include 1) the fusion of cyberspace and physical space, 2) the distraction-free computing. Context awareness is the effort for computer systems to sense and leverage the rich context information in the dual space. It has been recognized as a promising approach to reach the goal of invisibility, which can provide attentive service for user. As a basic service in the computing environment, context-aware service is with four basic functions of collecting, storing, reasoning and querying. The reasoning and inosculating module are for formal reasoning module; the context base module provides the function of storing data and querying; the querying and subscribing module gives the non-processing interface for upper application to request context service; the raw data acquiring module acquires the raw data from the sensors and profile files. Not only can the computing framework provide context common service, but it has favorable expansibility and adaptability. And, location-aware computing is a representative research area of context-aware computing. For which we proposed 1) a multi-object-tracking, highly-precise indoor positioning system, Cicada, to acquire the objects' location in smart space, 2) an expeditious and active location-aware service model, which not only to provide rapid location-related query service to applications, but also to offer the active spatial event service. As a showcase, based on the framework of context-aware service, the smart camera man module which is one part of the smart classroom project was ameliorated and satisfying result is retrieved. Smart camera man module implements the function that switching to the most convenient camera view in terms of the shift of the vision focus of smart classroom, which embodies the distraction-free characteristic of smart space apparently"
A User-centric Applications Sharing Model on Pervasive Computing,2007 2nd International Conference on Pervasive Computing and Applications,2007,"Pervasive computing is booming research field, in which innovative techniques and applications are continuously forming to provide users with high quality ambient and personalized services. Applications available for end-users have become increasingly abundant, distributed and heterogeneous in pervasive computing environment. How to share and utilize these applications is a significant research problem in pervasive computing environment. This paper puts forward a User-centric Applications Sharing Model (U-ASM). The U-ASM mainly focuses on abstracting the applications from service providers and end-users, and then utilizes virtualization technology to encapsulate applications and uses ontology organize distributed applications as a logic unit with semantic relationships so that it can provide better quality of service for end-users. The research result has been applied in R&amp;D Infrastructure and Facility Development of Ministry of Science and Technology and has great flexibility and extensibility."
A User-centric Task Computing Architecture for Pervasive Computing,2008 Third International Conference on Pervasive Computing and Applications,2008,"Recent advances in pervasive computing and service-oriented computing have led to a desire to better support user-oriented tasks. Task computing is a new paradigm that tries to provide computational support for humans in terms of their tasks that the human is involved in, which has become a driving force in realizing the vision of pervasive computing. One of the key challenges of task computing paradigm is how to build the appropriate infrastructure in filling the gap between the tasks and the services. To solve the problem, this paper puts forward a user-centric task computing architecture for heterogeneous and dynamic pervasive computing environments which called U-TCA. The U-TCA focuses on sensing and abstracting user's requirement based task model on the one hand, and using middleware to mask the heterogeneity of computing environment on the other hand. The key technologies of the U-TCA are also discussed in detail, including the techniques of task acquisition, task modeling and task mapping."
A tool suite to prototype pervasive computing applications,2010 8th IEEE International Conference on Pervasive Computing and Communications Workshops (PERCOM Workshops),2010,"Despite much progress, developing a pervasive computing application remains a challenge because of a lack of conceptual frameworks and supporting tools. This challenge involves coping with heterogeneous entities, overcoming the intricacies of distributed systems technologies, working out an architecture for the application, encoding it in a program, writing specific code to test the application, and finally deploying it. We present DiaSuite, a tool suite covering the development lifecycle of a pervasive computing system. This tool suite comprises a domain-specific design language, a compiler for this language, which produces a Java programming framework, an editor to define simulation scenarios, and a 2D-renderer to simulate pervasive computing applications. We have validated our tool suite on a variety of comprehensive applications in areas including telecommunications, building automation, and health-care."
Research on Wireless Sensor Middleware for Pervasive Computing,"2010 First International Conference on Pervasive Computing, Signal Processing and Applications",2010,"With pervasive computing and wireless sensor network concepts and technology developed rapidly, based on context-aware of pervasive computing applications are increasingly in-depth people's lives. These applications using wireless sensor networks as information collection and dissemination infrastructure for pervasive computing, promote the physical world and virtual world integration and interaction. This paper studies the middleware with WSN structure and operation platform for pervasive computing. At last, according to the requirement of pervasive computing application, a wireless sensor middleware infrastructure based on agent and context-aware was presented."
Security   trust enforcement in pervasive computing environment (STEP),2006 International Symposium on High Capacity Optical Networks and Enabling Technologies,2006,"The propagation of ubiquitous computing is bringing in an environment, where multitudes of diverse entities interact with each other. It is widely acknowledged that traditional security measures do not scale well in environments which are epitomized by unforeseen circumstances, unexpected interactions, and unknown entities. We propose the trust based security architecture based on the human notion of trust as a mechanism to secure computing in ubiquitous environments."
An Interdisciplinary Design Course for Pervasive Computing,,2012,"Virginia Tech offers an interdisciplinary design course for pervasive computing products, with the goal of providing undergraduates with the interdisciplinary and technical skills required to design and develop pervasive computing devices. The course has been developed and taught by a team of faculty from three departments-Electrical and Computer Engineering, Industrial Design, and Marketing-and a faculty member from the Department of Engineering Education has helped develop the class's interdisciplinary teaming processes."
Research of cooperative long-distance education model based on pervasive computing,2007 2nd International Conference on Pervasive Computing and Applications,2007,"This article is set in the teaching and research of cooperative long-distance education of graduate student, it have researched the characteristic of the cooperative long-distance education in the environment of pervasive computing, introducing the cooperative long-distance education model based on pervasive computing, show the architecture of cooperative long-distance education system based on pervasive computing, introducing the cooperative education and research in a ""mobile discussion"", it means that a project group of a subject will not be limited at a certain place when they are discussing. This article also introduces how to use Agent technology into the development of the cooperative long-distance education system based on pervasive computing. This system take the cooperative long-distance education of the graduate course ""new database technology"" as an example, actualize a cooperative long-distance education and research system. This article introduce the idea that how to actualize the graduate cooperative long-distance education system based on the pervasive computing."
Privacy Protection in Ubiquitous Computing,"2010 First International Conference on Pervasive Computing, Signal Processing and Applications",2010,"Even though it is hard to define privacy in ubiquitous computing formally, study of privacy protection is now a spotlight of research to accelerate the emergency of ubiquitous computing age. In this paper, IDs assigned by the authority of end user are picked out from sensitive information such as location, time, likings. Service procedure assert, unless under juristic directive, other ID should be used instead. It is ideal to let end users of ubiquitous computing environment decide the level of their privacies required by services, so standardizing schema which depicts services and data requests is the base for end users offer information needed to get expected services with reducing the possibility of exposing who they are. Besides of any progress in preserving sensitive information, clarifying and using potential sensitive information separately from privacy information will do advantage to make services privacy preserving services."
Integration of spoken dialogue system and ubiquitous computing,2019 IEEE International Conference on Pervasive Computing and Communications Workshops (PerCom Workshops),2019,"With the progress of ubiquitous computing, computers/machines can understand various human contexts via various sensors. A wearable device is possible to estimate calories burned, fatigue degree, even QoL (Quality of Life) by analyzing the heart rate, steps, sleep quality, etc. Simultaneously, the significant progress of deep learning brought the drastic performance improvement in not only image recognition, but also speech processing and natural language. Nowadays, it will become a reality that the humanoid robot instantaneously recognizes what is shown in the camera image and speaks the human-like sentences with human-like voice in multiple languages. Therefore, a collaboration between human and machines have already started. In a call center, AI chatbot has already worked to handle the typical Inquiries on behalf of human operators. A smartwatch and activity trackers keep monitoring owner's physical states and sometimes make an intervention for improving the owner's health. We are also developing the digital signage that persuades the passing person to change his/her behavior to a better way. However, there is still a distance between actual human-to-human interaction and machine-to-human interaction. That means that there is some context information that the machine side is not yet aware of. For example, while human beings observe a slight change of facial expression and body gestures, they change their way of talking and tone, but the machine can not take such information (emotion, agreement, etc.) into consideration when it generates a dialogue. In my keynote, I would like to widely introduce the leading-edge research on context recognition in the research area of ubiquitous computing. Then, I explain the requirements on how next - generation dialogue system should be. In the next-generation dialogue system, it is natural to change the content of conversation and the state of utterance according to the recognized context, for example, the conversation content will change according to the number of steps and stress situation during dialogue. Finally, we discuss technical issues required for integrating spoken dialogue system with ubiquitous computing."
Chaining the secret: Lightweight authentication for security in pervasive computing,2016 IEEE International Conference on Pervasive Computing and Communication Workshops (PerCom Workshops),2016,"With the proliferation of pervasive computing which enables global connectivity of surrounding objects, the importance of security and its methodology is getting more recognized recently. However, since networking devices composing the pervasive computing are usually resource-constrained compared to traditional devices, there are many difficulties in deploying complex security functionality on them. Even if they have succeeded to provide security protocol, use of heavy authentications such as public key infrastructure or certificate-based credential type often becomes another burden. Meanwhile, the most popular and lightweight authentication type is Pre-shared Key (PSK), however, it can be easily exposed by attackers. To overcome this limitation, we present a pre-shared key chaining system which utilizes lightweight PSK and offers moving defense against key attacks with a small overhead. The system generates a chain of arbitrary PSKs without any secret exchanges and provides a new PSK from the chain at each secure session. This work enables constrained devices to communicate in a secure way without high risks of getting compromised, lightweight all the same."
Research of Pervasive Computing System Support Theory,"2010 First International Conference on Pervasive Computing, Signal Processing and Applications",2010,"Based on the research of Pervasive Computing connotation, development and theoretical system architecture, this Paper advanced the support theory of Pervasive Computing system for the first time and analyzed the key technology of the Pervasive Computing system support theory. This paper orients the development of the Pervasive Computing system support theory, and it is very important for the research of Pervasive Computing."
A service model based on recommendation trust in pervasive computing environment,5th International Conference on Pervasive Computing and Applications,2010,"According to the characteristics of pervasive computing, a suitable service model based on recommendation trust for pervasive computing is presented in this paper. In this model, the concept of recommendation credibility, credibility of service content and indirect credibility are introduced to overcome the problem of pervasive computing in the choice of service provider blindly. Recommendation credibility can prevent the cheating behavior of collusive recommendation. Credibility of service content can evaluate service providers more objective and prevent the cheating behavior of service providers. Indirect credibility can evaluate the recommendation side more comprehensive because it is decided by recommendation credibility and recommendation similarity. The proposed model has the advantage of fitting for dynamic trust characteristics of pervasive computing, preventing the failure behavior of single point and choosing more suitable service provider for service applicants."
Extensions to Jini Service Architecture for Pervasive Computing,2006 First International Symposium on Pervasive Computing and Applications,2006,"Web service architectures are being increasingly used as platforms for distributed applications. Mobile devices are already used everywhere. Both of them are paving the way for the emergence of pervasive computing systems. Many pervasive computing systems have not yet taken mobility and Web service architecture into account due to the lack of an appropriate supporting infrastructure. In this paper we present a new infrastructure for pervasive computing system. The infrastructure builds on both the Jini service architecture and the Web service technology. The combination allows designers to dynamically plugin and adapts pervasive computing. And in such infrastructure devices can discover each other and can utilize each other's services, whether they exist Jini lookup service or Web service registry"
A Deep Web Data Integration Model for Pervasive Computing,2008 Third International Conference on Pervasive Computing and Applications,2008,"Pervasive computing demands to integrate all kinds of data, but with the rapid development of Web, there are more and more Web databases behind the query forms. It becomes imperative to provide an integrated query engine over Web databases under pervasive computing environments. In this paper, using house domain of Chinese environment as an example, we propose a more effective technique to perform this task. Our frame is called DWDE. Using Domain Ontology the process of Deep Web data integration is simplified, which only includes three modules, that is Query Interfaces Integration, Web Database Selection and Data Merger. It can get data rapidly and accurately from web databases. It adds three modules for pervasive computing, Interest Degree Manage, Demands Acquirement and Data Presentation. Using these modules, DWDE can combine a Deep Web data integration system into pervasive computing environments seamlessly, and provide better services to the users."
The Routing Strategy of Pervasive Computing,2006 First International Symposium on Pervasive Computing and Applications,2006,"In the near future, a pervasive computing environment can be expected based on the recent progresses and advances in computing and communication technologies. This paper describes the recent network model that can be applied in pervasive computing. The routing strategy among networks is presented in pervasive computing. Special attention is paid on key research issues include X-cast routing algorithms, security schemes, and QoS model"
An Implementing Approach to Dynamic Context-Aware Pervasive Computing Application System,2006 First International Symposium on Pervasive Computing and Applications,2006,"Context-aware pervasive computing application system should be flexibly adaptable to dynamic changes of context and application requirements and proactively provide the information satisfied with current context for users. The concept model and developing approach based on preference model presented by (K. Henricksen and J. Indulska, 2004) can satisfy the adaptation of context-aware pervasive computing application in a certain extent. However, this model can't easily describe fuzzy fact. Moreover, codes need be modified when constraints on system behavior have changed. Based on their production, this paper presents one type of rule, expresses fuzzy fact using operator predicate logic and presents a developing approach based on this type of rule. Therefore, the context-aware pervasive computing system developed using this approach need not modify codes when constraints on system behavior have changed. Such system can be more adaptive to dynamic changes and proactively provide information. In addition, requirements of context-aware pervasive computing application system can be expressed more accurately. Finally, experiments and examples prove that the model and approach proposed are feasible"
A Pervasive Computing System Design and Implementation for Mandarin e-Learning,2006 First International Symposium on Pervasive Computing and Applications,2006,"Pervasive computing has a great potential for many next-generation IT applications. This paper describes a pervasive computing system design and implementation for Mandarin e-learning. We propose a human-centered pervasive computing system model (HPC), a layered architecture analysis and design method (LAAD). Based on the HPC model and the LAAD method, a pervasive computing based Mandarin e-learning system is designed and implemented. The design and implementation issues are discussed in more details"
Towards an open ubiquitous computing environment,2009 IEEE International Conference on Pervasive Computing and Communications,2009,"Ubiquitous computing has been a vision for decades but yet come to pass. This paper investigates the lack of adoption of ubiquitous computing technologies through a survey on 35 top tier research projects in this field. We find five major resistances in the adoption process and propose an open ubiquitous environment initiative to solve this problem. We have developed OUCE, an Internet-scale context service provisioning platform to support an open ubiquitous environment. Our evaluation shows the performance of OUCE exceeds existing specialized ubiquitous computing middleware infrastructures."
Ubiquitous ID: Standards for Ubiquitous Computing and the Internet of Things,,2010,"In ubiquitous computing environments, many tiny computers cooperate, adapting their behaviors according to real-world contexts to provide flexible information services. These information services can't be realized without technology standardization in a broad area. In this article, we discuss the principle of ubiquitous computing technology standardization and introduce uID standards currently in development."
An Architecture of Business Process Driven Application Integration in Pervasive Computing Environments,2006 First International Symposium on Pervasive Computing and Applications,2006,"Pervasive computing brings a lots challenge for software architecture. This paper improves an architecture of business process driven application integration, towards the pervasive computing environments. Firstly, in the architecture, there is no central management organization, and application nodes are equal and autonomic and can communicate with each other directly; second, the application node which accepts the request is the manager, and every node have the ability to select next executive node; then, when designating the work, it considers users' personal preference and context; finally, users can ask for service through wireless devices like PDA or mobile phone. Therefore, this architecture takes a great step forward the pervasive computing environments"
Design of Simulation Software for Mission Change Real-Time Control Based on Pervasive Computing,"2010 First International Conference on Pervasive Computing, Signal Processing and Applications",2010,"In pervasive computing, the computer is no longer a single computing device, but an information device with the embedded processor, memory, communication module and various sensors together. Combining with the pervasive computing and flight maneuvering characteristic, this article puts forward the simulation software of moving object midcourse mission change based on pervasive computing and relevant simulation flow, gives the architecture of the simulation software, and proves the validity of the scheme via making use of two cases."
User Personalized Services Based on Semantic Web for Pervasive Computing,2008 Third International Conference on Pervasive Computing and Applications,2008,"In pervasive computing environment, more personalized information can be achieved, and better user profile model can be built, thus personalized service can be realized. User profile is the critical aspect in personalized service of digital library. This paper proposes structure and mechanism of user profile in personalized service of digital library. The main problems during its construction are hereinafter introduced in details, which can bring pervasive computing and Web service together tightly. Some technical problems about pervasive-computing-based personalized service are discussed as well include representation, creation and update of user profile. User profile is represented by vector space model (VSM) based ontology. Simple domain ontology of digital library is built first, and then user's interests computed by VSM, in which the item of vector is ontology or concept about user's interests. Features are selected by combining classifying and clustering algorithm, and take support vector machine (SVM) and unsupervised clustering (UC) as example to show the implementation. Using hybrid model, which contains long term model and short term model, compute the interest drifting of user. These two models use different forgetting strategy: short term model use time window and long term model use gradual forgetting algorithm."
Design of Hardware-in-Loop Simulation System Based on Pervasive Computing Technology,"2010 First International Conference on Pervasive Computing, Signal Processing and Applications",2010,"The amalgamation of pervasive computing and simulation technology is very useful and important. The HIL (Hardware In Loop) simulation is a specified system and one of simulation system compositions. It will bring more convenience resource sharing and serving to users by amalgamation of pervasive computing and HIL simulation system. Design of HIL simulation system is just finding an approach of reforming and expanding a HIL simulation system to apply to pervasive computing. Such as analysis of designing objective for HIL simulation system research, designing scheme of system, key technologies correlating to system design, and so on."
A Goal-driven Approach of Service Composition for Pervasive Computing,2006 First International Symposium on Pervasive Computing and Applications,2006,"It is an important problem for pervasive computing to coordinate and compose large numbers of devices and services to achieve users' various task goals. The pervasive computing environment is transparent for users. In order to simplify the interaction between users and the environment, this paper presents a goal-driven approach of service composition. We build a task-oriented semantic representation model of Web services and based on this model goal-driven service composition is performed dynamically to achieve user's goal. We also describe a simulated application scenario in this paper and discuss the process of task definition and service composition according to the scenario. This approach simplifies the interaction between users and pervasive computing environment and improves the flexibility of service cooperation and composition in the environment"
A Method of Service Description and Discovery in Pervasive Computing Environments,2006 First International Symposium on Pervasive Computing and Applications,2006,"Pervasive computing environments pose service description and discovery challenges. This paper analyses the difference of service description and discovery in pervasive computing environments and in traditional environments, and finds that the location of service and the time of service should be paid more attention in pervasive computing environments, besides the traditional questions. A method of service description and discovery by extending the CC/PP vocabulary is proposed. The method is applied to the budget traveling platform to validate the feasibility"
From Robotics to Pervasive Computing Environments,2006 First International Symposium on Pervasive Computing and Applications,2006,"This talk proposes that the digital home is virtually identical to the software and hardware architecture used to construct mobile robots leading to the proposition that ""pervasive computing environments can be regarded as robots that we live inside"". The author argue that it is possible and rational to apply robotic techniques to pervasive computing problems in the digital home"
Teaching Pervasive Computing in Liberal Arts Colleges,,2018,"In this article, we reflect on the critical role of liberal arts education in fostering creative, collaborative, and ethical innovators for pervasive computing. We discuss why liberal arts education is important as a foundation for advanced studies and leadership in ubiquitous computing, and we share our experiences teaching pervasive computing in liberal arts colleges."
Research on Trust Management Model in Pervasive Computing,2007 2nd International Conference on Pervasive Computing and Applications,2007,"Pervasive computing being a new management model, it has changed the computing consideration of people radically. Due to the pervasive computing need to be combined from multi-resources, the trust problem appears the most important right away. Mentioned a new style trust management based of analyzing insufficient existing model, so that the efficiency and veracity of trust-building could be improved. The circumstances having described an application imitating, which verifies for the model suggesting, the model facilitated the interactive of entity and the environment and made the efficiency of trust-building being improved in pervasive environment."
A Method for Network Data Collection and Processing in the Pervasive Computing Environment,2006 First International Symposium on Pervasive Computing and Applications,2006,"There are many new characters of network in the pervasive computing environment, and the traditional method of data collection and processing have not adapted the requirement of network management. So, according to the research on the characters of network in the pervasive computing environment, a rule-based method for network data collection and processing is brought forward combined with present network technology. The method encapsulates the logic of network data collection and processing in business rules, and organizes the business rules through object-oriented Rete algorithm. Data processing logic is able to easily be read and verified. And business logic and process are separated by this method. At the same time, the complex business determinant statements do not have to be modified continually to adapt themselves to the changes of network environment and business"
The top-k skyline query in pervasive computing environments,2009 Joint Conferences on Pervasive Computing (JCPC),2009,"In pervasive computing environments, more and more applications or platforms based on mobile phone and PDA emerged. People could get what they want from these platforms anywhere. Top-k and skyline query are two methods to satisfy user's preferences. In many situations, we need to combine the two querying technologies to satisfy the user's preferences, which is called top-k skyline query. Based on a given pervasive computing scenario, we formulate a theoretical model for top-k skyline query, describe an algorithm that proceeds the skyline and top-k query synchronously. It shows better performance in experiment than algorithms proposed in."
Research on and Implementation of a real-time CORBA Middleware Prototype for Pervasive Computing,2007 2nd International Conference on Pervasive Computing and Applications,2007,"The system Architecture of the middleware, which is fit for the pervasive computing environment, is described, and the basic idea of how to design and implement the middleware for pervasive computing based on the CORBA is put forward. Then it discusses the particular design of the middleware according to the demands of real-time, embedded limited resource, mobile environment and the diversity of systems and networks. Finally, the validity of the design and implementation has been proven by the experiment system."
Highly scalable data processing framework for pervasive computing applications,2013 IEEE International Conference on Pervasive Computing and Communications Workshops (PERCOM Workshops),2013,"One of the key problems in pervasive computing is enabling the collective processing of sensor data obtained from mobile devices such as smartphones. In this demonstration we present a highly scalable storage and processing framework for pervasive computing applications, enabling various estimation problems to be solved from massive data sets, consisting of measurements from millions of nodes or more. The key to achieving such scalability is the use of linear or sublinear time processing algorithms emerging from statistical and machine learning communities. We focus specifically on spatial and spatio-temporal estimation problems in the demonstration, such as prediction of sensor readings, user densities, or wireless network usage in regions for which direct measurements are not available."
