Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Security Challenges in the Industry 4.0 Era","Industry 4.0 and Engineering for a Sustainable Future","","","","10.1007/978-3-030-12953-8_8","Mohammed M. AlaniMohamed Alloghani","2019","http://link.springer.com/chapter/10.1007/978-3-030-12953-8_8","Chapter"
"Internet of Things on Power Line Communications: An Experimental Performance Analysis","Smart Grids and Their Communication Systems","","","","10.1007/978-981-13-1768-2_13","Luca DavoliLuca VeltriGianluigi FerrariUmberto Amadei","2019","http://link.springer.com/chapter/10.1007/978-981-13-1768-2_13","Chapter"
"Secured Architecture for Internet of Things-Enabled Personalized Healthcare Systems","Internet of Things and Personalized Healthcare Systems","","","","10.1007/978-981-13-0866-6_7","Vikram NeerugattiA. Rama Mohan Reddy","2019","http://link.springer.com/chapter/10.1007/978-981-13-0866-6_7","Chapter"
"Internet of Things: Security Challenges and Its Future Direction","10th International Conference on Robotics, Vision, Signal Processing and Power Applications","","","","10.1007/978-981-13-6447-1_61","Soo Fun TanAzman SamsudinSuraya Alias","2019","http://link.springer.com/chapter/10.1007/978-981-13-6447-1_61","Chapter"
"Securing Internet-of-Things","Foundations and Practice of Security","","","","10.1007/978-3-030-18419-3_1","Guang Gong","2019","http://link.springer.com/chapter/10.1007/978-3-030-18419-3_1","Chapter"
"Industrial wearable system: the human-centric empowering technology in Industry 4.0","Journal of Intelligent Manufacturing","","30","8","10.1007/s10845-018-1416-9","Xiang T. R. KongHao LuoGeorge Q. HuangXuan Yang","2019","http://link.springer.com/article/10.1007/s10845-018-1416-9","Article"
"A Security Framework to Protect Edge Supported Software Defined Internet of Things Infrastructure","Collaborative Computing: Networking, Applications and Worksharing","","","","10.1007/978-3-030-30146-0_6","Wajid RafiqueMaqbool KhanNadeem SarwarWanchun Dou","2019","http://link.springer.com/chapter/10.1007/978-3-030-30146-0_6","Chapter"
"Internet of Things is a revolutionary approach for future technology enhancement: a review","Journal of Big Data","","6","1","10.1186/s40537-019-0268-2","Sachin KumarPrayag TiwariMikhail Zymbler","2019","http://link.springer.com/article/10.1186/s40537-019-0268-2","Article"
"Augmented societies with mirror worlds","AI & SOCIETY","","34","4","10.1007/s00146-017-0788-2","Alessandro RicciLuca TummoliniCristiano Castelfranchi","2019","http://link.springer.com/article/10.1007/s00146-017-0788-2","Article"
"The Model of State Management of Economy on the Basis of the Internet of Things","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_116","Elena G. PopkovaElena N. EgorovaElena PopovaUlyana A. Pozdnyakova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_116","Chapter"
"Research on reliability of Internet of Things RFID based on improved random hash protocol and cooperative game in low-carbon supply chain environment","Personal and Ubiquitous Computing","","23","3 - 4","10.1007/s00779-019-01215-2","Lijian YuYih-Chearng Shiue","2019","http://link.springer.com/article/10.1007/s00779-019-01215-2","Article"
"A Survey on Accessible Context-Aware Systems","Technological Trends in Improved Mobility of the Visually Impaired","","","","10.1007/978-3-030-16450-8_2","Iyad Abu DoushIssam DamajMohammed Azmi Al-BetarMohammed A. AwadallahRa’ed M. Al-khatibAlaa Eddin AlchalabiAsaju L. Bolaji","2020","http://link.springer.com/chapter/10.1007/978-3-030-16450-8_2","Chapter"
"Real-time Linked Dataspaces: A Data Platform for Intelligent Systems Within Internet of Things-Based Smart Environments","Real-time Linked Dataspaces","","","","10.1007/978-3-030-29665-0_1","Edward Curry","2020","http://link.springer.com/chapter/10.1007/978-3-030-29665-0_1","Chapter"
"A Generic Survey on Medical Big Data Analysis Using Internet of Things","First International Conference on Artificial Intelligence and Cognitive Computing","","","","10.1007/978-981-13-1580-0_26","Sumanta KuilaNamrata DhandaSubhankar JoardarSarmistha NeogyJayanta Kuila","2019","http://link.springer.com/chapter/10.1007/978-981-13-1580-0_26","Chapter"
"Internet of Things as a New Factor of Production in the Conditions of Digital Economy","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_117","Ulyana A. PozdnyakovaIrina V. MukhomorovaVyacheslav V. GolikovSergey P. SazonovGrigory G. Pleshakov","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_117","Chapter"
"From the Mind to the Cloud: Personal Data in the Age of the Internet of Things","AI Love You","","","","10.1007/978-3-030-19734-6_6","Giuseppe LuganoMartin HudákMatúš IvančoTomáš Loveček","2019","http://link.springer.com/chapter/10.1007/978-3-030-19734-6_6","Chapter"
"The Model of Trust Management in the Age of the Internet of Things from the Positions of Various Interested Parties","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_119","Aleksei V. BogovizLudmila I. TsvetkovaAnna V. BodiakoAlexandr V. GimelshteynIrina O. Tretyakova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_119","Chapter"
"Enterprise Systems for Networked Smart Cities","Smart Infrastructure and Applications","","","","10.1007/978-3-030-13705-2_1","Naim AhmadRashid Mehmood","2020","http://link.springer.com/chapter/10.1007/978-3-030-13705-2_1","Chapter"
"Passive RFID Localization in the Internet of Things","Recent Trends and Advances in Wireless and IoT-enabled Networks","","","","10.1007/978-3-319-99966-1_7","Belal Saeed AlsinglawiQuang Vinh NguyenUpul GunawardanaSimeon SimoffAnthony MaederMahmoud ElkhodrMohammad Dahman Alshehri","2019","http://link.springer.com/chapter/10.1007/978-3-319-99966-1_7","Chapter"
"Security Protocols for IoT","Ubiquitous Computing and Computing Security of IoT","","","","10.1007/978-3-030-01566-4_1","J. CynthiaH. Parveen SultanaM. N. SarojaJ. Senthil","2019","http://link.springer.com/chapter/10.1007/978-3-030-01566-4_1","Chapter"
"Ambient Intelligence in Smart City Environments: Topologies and Information Architectures","Guide to Ambient Intelligence in the IoT Environment","","","","10.1007/978-3-030-04173-1_1","Kelvin Joseph Bwalya","2019","http://link.springer.com/chapter/10.1007/978-3-030-04173-1_1","Chapter"
"Cognitive Informatics Approaches for Data Sharing and Management in Cloud Computing","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-319-93554-6_41","Marek R. OgielaLidia Ogiela","2019","http://link.springer.com/chapter/10.1007/978-3-319-93554-6_41","Chapter"
"DDITA: A Naive Security Model for IoT Resource Security","Smart Innovations in Communication and Computational Sciences","","","","10.1007/978-981-10-8971-8_19","Priya MattaBhaskar PantUmesh Kumar Tiwari","2019","http://link.springer.com/chapter/10.1007/978-981-10-8971-8_19","Chapter"
"The State and Future of Ambient Intelligence in Industrial IoT Environments","Guide to Ambient Intelligence in the IoT Environment","","","","10.1007/978-3-030-04173-1_2","Wesley DoorsamyBabu Sena Paul","2019","http://link.springer.com/chapter/10.1007/978-3-030-04173-1_2","Chapter"
"Neuroethics of Augmenting Human Memory Using Wearable Pervasive and Ubiquitous Technologies","ICT Unbounded, Social Impact of Bright ICT Adoption","","","","10.1007/978-3-030-20671-0_1","Kuribachew Gizaw","2019","http://link.springer.com/chapter/10.1007/978-3-030-20671-0_1","Chapter"
"IoT6Sec: reliability model for Internet of Things security focused on anomalous measurements identification with energy analysis","Wireless Networks","","25","4","10.1007/s11276-017-1610-2","Norisvaldo Ferraz JuniorAnderson SilvaAdilson GuelfiSergio Takeo Kofuji","2019","http://link.springer.com/article/10.1007/s11276-017-1610-2","Article"
"Energy Conservation in Multimedia Big Data Computing and the Internet of Things—A Challenge","Multimedia Big Data Computing for IoT Applications","","","","10.1007/978-981-13-8759-3_2","Pimal KhanparaKruti Lavingia","2020","http://link.springer.com/chapter/10.1007/978-981-13-8759-3_2","Chapter"
"Efficient Resource Allocation Model for Residential Buildings in Smart Grid Using Fog and Cloud Computing","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-319-93554-6_26","Aisha FatimaNadeem JavaidMomina WaheedTooba NazarShaista ShabbirTanzeela Sultana","2019","http://link.springer.com/chapter/10.1007/978-3-319-93554-6_26","Chapter"
"A comprehensive and systematic review of the load balancing mechanisms in the Internet of Things","Cluster Computing","","","","10.1007/s10586-019-02950-0","Behrouz PourgheblehVahideh Hayyolalam","2019","http://link.springer.com/article/10.1007/s10586-019-02950-0","Article"
"Rescheduling Enhanced Min-Min (REMM) Algorithm for Meta-task Scheduling in Cloud Computing","International Conference on Intelligent Data Communication Technologies and Internet of Things (ICICI) 2018","","","","10.1007/978-3-030-03146-6_102","D. I. George AmalarethinamS. Kavitha","2019","http://link.springer.com/chapter/10.1007/978-3-030-03146-6_102","Chapter"
"Ubiquitous Platform as a Service for Large-Scale Ubiquitous Applications Cloud-Based","Advanced Intelligent Systems for Sustainable Development (AI2SD’2019)","","","","10.1007/978-3-030-33103-0_30","Marwa ZaryouliMostafa Ezziyyani","2020","http://link.springer.com/chapter/10.1007/978-3-030-33103-0_30","Chapter"
"Online Social Network Analysis (OSNA) Based Approach for Interconnecting Complex Systems of Internet of Things (SIoT)","Principles of Internet of Things (IoT) Ecosystem: Insight Paradigm","","","","10.1007/978-3-030-33596-0_17","Meenu ChopraCosmena Mahapatra","2020","http://link.springer.com/chapter/10.1007/978-3-030-33596-0_17","Chapter"
"Research on digital production technology for traditional manufacturing enterprises based on industrial Internet of Things in 5G era","The International Journal of Advanced Manufacturing Technology","","","","10.1007/s00170-019-04284-y","Yi LiuKaiDi TongFeng MaoJie Yang","2019","http://link.springer.com/article/10.1007/s00170-019-04284-y","Article"
"Towards Multi-resident Activity Monitoring with Smarter Safer Home Platform","Smart Assisted Living","","","","10.1007/978-3-030-25590-9_12","Son N. TranQing Zhang","2020","http://link.springer.com/chapter/10.1007/978-3-030-25590-9_12","Chapter"
"Provision of Innovational and Economic Security of Small Business in the Internet Space of Cyber-Economy on the Platform of Cognitive Assistants of Artificial Intelligence","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_106","Anna V. ShokhnekhOlga A. MironovaLilia R. MoiseevaLiliya Y. YakovlevaAlsu K. Evstafieva","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_106","Chapter"
"Managing a Company on the Basis of the Internet of Things: Systemic Analysis, Information Processing, and Decision Making in the System “Machine-Human-Machine”","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_89","Alexander P. Sukhodolov","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_89","Chapter"
"An automated and intelligent Parkinson disease monitoring system using wearable computing and cloud technology","Cluster Computing","","22","1","10.1007/s10586-017-1591-z","Ahmad Almogren","2019","http://link.springer.com/article/10.1007/s10586-017-1591-z","Article"
"Digital Transformation: The Practice of Using Industrial Internet of Things","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_64","Evgenii BogomolovGalina Kolodnyaya","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_64","Chapter"
"Web Services Classification Across Cloud-Based Applications","Soft Computing: Theories and Applications","","","","10.1007/978-981-13-0589-4_23","M. Swami DasA. GovardhanD. Vijaya Lakshmi","2019","http://link.springer.com/chapter/10.1007/978-981-13-0589-4_23","Chapter"
"Achieving energy efficiency using novel scalar multiplication based ECC for android devices in Internet of Things environments","Cluster Computing","","22","5","10.1007/s10586-017-1542-8","K. Sathish KumarR. Sukumar","2019","http://link.springer.com/article/10.1007/s10586-017-1542-8","Article"
"What it takes to boost Internet of Things privacy beyond encryption with unobservable communication: a survey and lessons learned from the first implementation of DC-net","Journal of Reliable Intelligent Environments","","5","1","10.1007/s40860-019-00075-0","Ralf C. StaudemeyerHenrich C. PöhlsMarcin Wójcik","2019","http://link.springer.com/article/10.1007/s40860-019-00075-0","Article"
"A novel countermeasure technique for reactive jamming attack in internet of things","Multimedia Tools and Applications","","78","21","10.1007/s11042-018-6684-z","Alaba Ayotunde FadeleMazliza OthmanIbrahim Abaker Targio HashemIbrar YaqoobMuhammad ImranMuhammad Shoaib","2019","http://link.springer.com/article/10.1007/s11042-018-6684-z","Article"
"A Novel Research on the Influence of Enterprise Culture on Internal Control in big Data and Internet of Things","Mobile Networks and Applications","","24","2","10.1007/s11036-017-0910-1","Haijun LiuXiaobing Liu","2019","http://link.springer.com/article/10.1007/s11036-017-0910-1","Article"
"Access Control in the Industrial Internet of Things","Security and Privacy Trends in the Industrial Internet of Things","","","","10.1007/978-3-030-12330-7_5","Stavros SalonikiasAntonios GouglidisIoannis MavridisDimitris Gritzalis","2019","http://link.springer.com/chapter/10.1007/978-3-030-12330-7_5","Chapter"
"The Outcomes of the Implementation of Internet of Things: A Public Value Perspective","Internet of Things. Information Processing in an Increasingly Connected World","","","","10.1007/978-3-030-15651-0_7","Ott Velsberg","2019","http://link.springer.com/chapter/10.1007/978-3-030-15651-0_7","Chapter"
"Modeling of Secure Communication in Internet-of-Things for Resisting Potential Intrusion","Computational Statistics and Mathematical Modeling Methods in Intelligent Systems","","","","10.1007/978-3-030-31362-3_38","Nasreen FathimaReshma BanuG. F. Ali Ahammed","2019","http://link.springer.com/chapter/10.1007/978-3-030-31362-3_38","Chapter"
"A novel medical internet of things perception system based on visual image encryption and intrusion detection","Cluster Computing","","22","6","10.1007/s10586-018-1944-2","Aiying GuoMeihua XuFeng RanHaiyong Wang","2019","http://link.springer.com/article/10.1007/s10586-018-1944-2","Article"
"Deep Learning for Trust-Related Attacks Detection in Social Internet of Things","Advances in E-Business Engineering for Ubiquitous Computing","","","","10.1007/978-3-030-34986-8_28","Mariam MasmoudiWafa AbdelghaniIkram AmousFlorence Sèdes","2020","http://link.springer.com/chapter/10.1007/978-3-030-34986-8_28","Chapter"
"Counting time in drops: views on the role and importance of smartwatches in dew computing","Wireless Networks","","","","10.1007/s11276-019-02046-y","Charles Tim Batista GarrochoRicardo Augusto Rabelo Oliveira","2019","http://link.springer.com/article/10.1007/s11276-019-02046-y","Article"
"IoT Sensing Capabilities: Sensor Deployment and Node Discovery, Wearable Sensors, Wireless Body Area Network (WBAN), Data Acquisition","Principles of Internet of Things (IoT) Ecosystem: Insight Paradigm","","","","10.1007/978-3-030-33596-0_5","T. PoongodiAnu RatheeR. IndrakumariP. Suresh","2020","http://link.springer.com/chapter/10.1007/978-3-030-33596-0_5","Chapter"
"Introduction to Wearable Enhanced Learning (WELL): Trends, Opportunities, and Challenges","Perspectives on Wearable Enhanced Learning (WELL)","","","","10.1007/978-3-319-64301-4_1","Ilona BuchemRalf KlammaFridolin Wild","2019","http://link.springer.com/chapter/10.1007/978-3-319-64301-4_1","Chapter"
"Registry service selection based secured Internet of Things with imperative control for industrial applications","Cluster Computing","","22","5","10.1007/s10586-017-1678-6","P. KanagarajuR. Nallusamy","2019","http://link.springer.com/article/10.1007/s10586-017-1678-6","Article"
"Resource Management Approaches in Fog Computing: a Comprehensive Review","Journal of Grid Computing","","","","10.1007/s10723-019-09491-1","Mostafa Ghobaei-AraniAlireza SouriAli A. Rahmanian","2019","http://link.springer.com/article/10.1007/s10723-019-09491-1","Article"
"The Underlying Technological, Scientific, and Structural Dimensions of Data-Driven Smart Sustainable Cities and Their Socio-Political Shaping Factors and Issues","Big Data Science and Analytics for Smart Sustainable Urbanism","","","","10.1007/978-3-030-17312-8_5","Simon Elias Bibri","2019","http://link.springer.com/chapter/10.1007/978-3-030-17312-8_5","Chapter"
"A novel distributed Social Internet of Things service recommendation scheme based on LSH forest","Personal and Ubiquitous Computing","","","","10.1007/s00779-019-01283-4","Biwei YanJiguo YuMeihong YangHonglu JiangZhiguo WanLina Ni","2019","http://link.springer.com/article/10.1007/s00779-019-01283-4","Article"
"Basic Principles of Tax Business Planning for the Internet of Things","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_75","Alexander V. Grishin","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_75","Chapter"
