Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Mobile Agent System Based Cloud Computing for Ubiquitous Telemonitoring Healthcare","Mobile, Secure, and Programmable Networking","","","","10.1007/978-3-030-03101-5_10","Nardjes BouchemalRamdane MaamriNaila Bouchemal","2019","http://link.springer.com/chapter/10.1007/978-3-030-03101-5_10","Chapter"
"What Changes from Ubiquitous Computing to Internet of Things in Interaction Evaluation?","Distributed, Ambient and Pervasive Interactions","","","","10.1007/978-3-319-58697-7_1","Rossana M. C. AndradeRainara M. CarvalhoItalo Linhares de AraújoKáthia M. OliveiraMarcio E. F. Maia","2017","http://link.springer.com/chapter/10.1007/978-3-319-58697-7_1","Chapter"
"Are Supercaps Ready for Ubiquitous Computing?","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-48799-1_40","Andre LoechteLudwig HorsthemkeThomas BrinkmannMichael LeukerAndreas HellerPeter Gloesekoetter","2016","http://link.springer.com/chapter/10.1007/978-3-319-48799-1_40","Chapter"
"Social Demands in Ubiquitous Computing: Contexts for Tomorrow’s Learning","Tomorrow's Learning: Involving Everyone. Learning with and about Technologies and Computing","","","","10.1007/978-3-319-74310-3_46","Mareen PrzybyllaRalf Romeike","2017","http://link.springer.com/chapter/10.1007/978-3-319-74310-3_46","Chapter"
"Profile Management System in Ubiquitous Healthcare Cloud Computing Environment","Broadband Communications, Networks, and Systems","","","","10.1007/978-3-030-05195-2_11","Evy KaravatselouMaria-Anna FengouGeorgios MantasDimitrios Lymberopoulos","2019","http://link.springer.com/chapter/10.1007/978-3-030-05195-2_11","Chapter"
"Promoting Healthy Nutrition Behavior Using Mobile Devices and Ubiquitous Computing","Ambient Assisted Living. ICT-based Solutions in Real Life Situations","","","","10.1007/978-3-319-26410-3_9","Felipe BesoainAntoni Perez-NavarroFelipe OjedaJose Antonio Reyes-Suarez","2015","http://link.springer.com/chapter/10.1007/978-3-319-26410-3_9","Chapter"
"Towards Deeper Understanding of User Experience with Ubiquitous Computing Systems: Systematic Literature Review and Design Framework","Human-Computer Interaction – INTERACT 2015","","","","10.1007/978-3-319-22698-9_26","Kaisa Väänänen-Vainio-MattilaThomas OlssonJonna Häkkilä","2015","http://link.springer.com/chapter/10.1007/978-3-319-22698-9_26","Chapter"
"Human-to-Human Interaction: The Killer Application of Ubiquitous Computing?","Human-Computer Interaction. User Interface Design, Development and Multimodality","","","","10.1007/978-3-319-58071-5_7","Salvatore SorceStefano RuggieriVito GentileAntonio GentileAlessio Malizia","2017","http://link.springer.com/chapter/10.1007/978-3-319-58071-5_7","Chapter"
"Trust-Based, Privacy-Preserving Context Aggregation and Sharing in Mobile Ubiquitous Computing","Mobile and Ubiquitous Systems: Computing, Networking, and Services","","","","10.1007/978-3-319-11569-6_25","Michael XingChristine Julien","2014","http://link.springer.com/chapter/10.1007/978-3-319-11569-6_25","Chapter"
"Ubiquitous Bluetooth Mobile Based Remote Controller for Home Entertainment Centre","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_16","Andy Shui-Yu LaiChing-Laam Leung","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_16","Chapter"
"Interchanging Cloud Providers Instances Through Ubiquitous Devices","Cloud Computing","","","","10.1007/978-3-319-05506-0_5","Tiago M. C. SimõesJorge E. F. CostaJoel J. P. C. RodriguesLong Hu","2014","http://link.springer.com/chapter/10.1007/978-3-319-05506-0_5","Chapter"
"Ubiquitous Augmented Cognition","Foundations of Augmented Cognition. Advancing Human Performance and Decision-Making through Adaptive Systems","","","","10.1007/978-3-319-07527-3_7","Anna SkinnerClementina RussoLisa BaranieckiMolly Maloof","2014","http://link.springer.com/chapter/10.1007/978-3-319-07527-3_7","Chapter"
"A Model for the Use of Social Paradigms in Mobile Ubiquitous Interactions","Universal Access in Human-Computer Interaction.   Access to Today's Technologies","","","","10.1007/978-3-319-20678-3_35","Vitor Santos","2015","http://link.springer.com/chapter/10.1007/978-3-319-20678-3_35","Chapter"
"Ubiquitous and Ambient Assisted Living eHealth Platforms for the Republic of Panama: Two Cases of Study","Ambient Intelligence for Health","","","","10.1007/978-3-319-26508-7_14","Juan Jose SaldañaLuis MendozaEdgardo PittiMiguel Vargas Lombardo","2015","http://link.springer.com/chapter/10.1007/978-3-319-26508-7_14","Chapter"
"Characterizing Ubiquitous Systems Privacy Issues by Gender and Age","Ambient Assisted Living. ICT-based Solutions in Real Life Situations","","","","10.1007/978-3-319-26410-3_23","Gustavo LópezGabriela MarínMarta Calderón","2015","http://link.springer.com/chapter/10.1007/978-3-319-26410-3_23","Chapter"
"Establishing Guidelines for User Quality of Experience in Ubiquitous Systems","Distributed, Ambient and Pervasive Interactions","","","","10.1007/978-3-319-39862-4_5","Deógenes Pereira da Silva JuniorPatricia Cristiane de SouzaCristiano Maciel","2016","http://link.springer.com/chapter/10.1007/978-3-319-39862-4_5","Chapter"
"Addressing the Users’ Diversity in Ubiquitous Environments through a Low Cost Architecture","Universal Access in Human-Computer Interaction. Aging and Assistive Environments","","","","10.1007/978-3-319-07446-7_43","Tatiana Silva de AlencarLuciano Rodrigues MachadoLuciano de Oliveira NerisVânia Paula de Almeida Neris","2014","http://link.springer.com/chapter/10.1007/978-3-319-07446-7_43","Chapter"
"ERP Costumer Assistance Using Ubiquitous Agents","Mobile, Secure, and Programmable Networking","","","","10.1007/978-3-319-25744-0_5","Nardjes BouchemalRamdane MaamriZaidi Sahnoun","2015","http://link.springer.com/chapter/10.1007/978-3-319-25744-0_5","Chapter"
"Heuristics to Evaluate the Usability of Ubiquitous Systems","Distributed, Ambient and Pervasive Interactions","","","","10.1007/978-3-319-58697-7_9","Larissa C. RochaRossana M. C. AndradeAndreia L. SampaioValéria Lelli","2017","http://link.springer.com/chapter/10.1007/978-3-319-58697-7_9","Chapter"
"A Method of Context-Based Services Discovery in Ubiquitous Environment","Context-Aware Systems and Applications","","","","10.1007/978-3-319-05939-6_26","Pallapa VenkataramM. Bharath","2014","http://link.springer.com/chapter/10.1007/978-3-319-05939-6_26","Chapter"
"Towards Ubiquitous Services Design and Development Approach","Distributed, Ambient and Pervasive Interactions","","","","10.1007/978-3-319-39862-4_1","Aicha AzouiDjilali Idoughi","2016","http://link.springer.com/chapter/10.1007/978-3-319-39862-4_1","Chapter"
"Modular System Development for Flexible Adoption of Ubiquitous Challenges in Energy Management and Control","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_31","Daniel KretzTim NeumannMarek KretzschmarSebastian JunghansTobias Teich","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_31","Chapter"
"Design and Implementation of Disaster Information Alert System Using Python in Ubiquitous Environment","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_58","Jae-Pil LeeJae-Gwang LeeEun-su MoJun-hyeon LeeJae-Kwang Lee","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_58","Chapter"
"Consistent Management of Context Information in Ubiquitous Systems","Internet and Distributed Computing Systems","","","","10.1007/978-3-319-11692-1_16","Gabriel Guerrero-ContrerasJosé Luis GarridoSara Balderas-DíazCarlos Rodríguez-Domínguez","2014","http://link.springer.com/chapter/10.1007/978-3-319-11692-1_16","Chapter"
"Factors Influencing the Quality of the User Experience in Ubiquitous Recommender Systems","Distributed, Ambient, and Pervasive Interactions","","","","10.1007/978-3-319-07788-8_35","Nikolaos PolatidisChristos K. Georgiadis","2014","http://link.springer.com/chapter/10.1007/978-3-319-07788-8_35","Chapter"
"Exploring Arduino for Building Educational Context-Aware Recommender Systems that Deliver Affective Recommendations in Social Ubiquitous Networking Environments","Web-Age Information Management","","","","10.1007/978-3-319-11538-2_25","Olga C. SantosJesus G. Boticario","2014","http://link.springer.com/chapter/10.1007/978-3-319-11538-2_25","Chapter"
"Integration and Evolution of Data Mining Models in Ubiquitous Health Telemonitoring Systems","Mobile and Ubiquitous Systems: Computing, Networking, and Services","","","","10.1007/978-3-319-11569-6_57","Vladimer KobayashiPierre MaretFabrice MuhlenbachPierre-René Lhérisson","2014","http://link.springer.com/chapter/10.1007/978-3-319-11569-6_57","Chapter"
"The Galois Complexity of Graph Drawing: Why Numerical Solutions Are Ubiquitous for Force-Directed, Spectral, and Circle Packing Drawings","Graph Drawing","","","","10.1007/978-3-662-45803-7_13","Michael J. BannisterWilliam E. DevannyDavid EppsteinMichael T. Goodrich","2014","http://link.springer.com/chapter/10.1007/978-3-662-45803-7_13","Chapter"
"U-Stroke Pattern Modeling for End User Identity Verification Through Ubiquitous Input Device","Computer Information Systems and Industrial Management","","","","10.1007/978-3-319-24369-6_18","Tapalina BhattasaliNabendu ChakiKhalid SaeedRituparna Chaki","2015","http://link.springer.com/chapter/10.1007/978-3-319-24369-6_18","Chapter"
"Ubiquitous Robot: A New Paradigm for Intelligence","Intelligent Data Engineering and Automated Learning – IDEAL 2016","","","","10.1007/978-3-319-46257-8_22","Tiantian ZhangBo YuanTao MengYinghao RenHoude LiuXueqian Wang","2016","http://link.springer.com/chapter/10.1007/978-3-319-46257-8_22","Chapter"
"Neuroethics of Augmenting Human Memory Using Wearable Pervasive and Ubiquitous Technologies","ICT Unbounded, Social Impact of Bright ICT Adoption","","","","10.1007/978-3-030-20671-0_1","Kuribachew Gizaw","2019","http://link.springer.com/chapter/10.1007/978-3-030-20671-0_1","Chapter"
"Smart Textiles as Intuitive and Ubiquitous User Interfaces for Smart Homes","Human Aspects of IT for the Aged Population. Design for Everyday Life","","","","10.1007/978-3-319-20913-5_39","Julian HildebrandtPhilipp BraunerMartina Ziefle","2015","http://link.springer.com/chapter/10.1007/978-3-319-20913-5_39","Chapter"
"A Multi-agent Architecture to Support Ubiquitous Applications in Smart Environments","Agent Technology for Intelligent Mobile Services and Smart Societies","","","","10.1007/978-3-662-46241-6_9","Cristiano MacielPatricia Cristiane de SouzaJosé ViterboFabiana Freitas MendesAmal El Fallah Seghrouchni","2015","http://link.springer.com/chapter/10.1007/978-3-662-46241-6_9","Chapter"
"Formal Specification and Verification Framework for Multi-domain Ubiquitous Environment","Service-Oriented Computing","","","","10.1007/978-3-319-46295-0_48","Mohamed HiliaAbdelghani ChibaniKarim DjouaniYacine Amirat","2016","http://link.springer.com/chapter/10.1007/978-3-319-46295-0_48","Chapter"
"Ubiquitous City Information Platform Powered by Fuzzy Based DSSs to Meet Multi Criteria Customer Satisfaction: A Feasible Implementation","Foundations of Intelligent Systems","","","","10.1007/978-3-319-25252-0_5","Alberto FaroDaniela Giordano","2015","http://link.springer.com/chapter/10.1007/978-3-319-25252-0_5","Chapter"
"A Context-Aware Framework for Mobile Computing Environment","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_47","Hoon-Kyu KimChoung-Seok KimKyung-Chang Kim","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_47","Chapter"
"Development of Learner-Centric Teaching-Learning Application Model for Ubiquitous Learning","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_51","Ji-Hye BaeHyun Lee","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_51","Chapter"
"Cryptanalysis of User Authentication Scheme Preserving Anonymity for Ubiquitous Devices","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_45","Dongwoo KangJongho MunDonghoon LeeDongho Won","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_45","Chapter"
"Adaptive and Personalized Educational Ubiquitous Multi-Agent System Using Context-Awareness Services and Mobile Devices","Learning and Collaboration Technologies","","","","10.1007/978-3-319-20609-7_29","Oscar M. SalazarDemetrio A. OvalleNéstor D. Duque","2015","http://link.springer.com/chapter/10.1007/978-3-319-20609-7_29","Chapter"
"Ubiquitous Signaling System for Public Road Transport Network","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-48799-1_49","Gabriel de BlasioAlexis Quesada-ArencibiaCarmelo Rubén García-RodríguezJezabel Miriam Molina-GilCándido Caballero-Gil","2016","http://link.springer.com/chapter/10.1007/978-3-319-48799-1_49","Chapter"
"Research on Open University Online Courses Learning Support Service (OCLSS) from the Perspective of Ubiquitous Learning","Blended Learning. New Challenges and Innovative Practices","","","","10.1007/978-3-319-59360-9_36","Xianyue WuYi QiuYouru XieHuiyan ZhangLihong Wu","2017","http://link.springer.com/chapter/10.1007/978-3-319-59360-9_36","Chapter"
"Selection Optimization of Bloom Filter-Based Index Services in Ubiquitous Embedded Systems","Web Services – ICWS 2018","","","","10.1007/978-3-319-94289-6_15","Zhu WangChenxi LuoTiejian Luo","2018","http://link.springer.com/chapter/10.1007/978-3-319-94289-6_15","Chapter"
"A Framework to Support Ubiquitous Healthcare Monitoring and Diagnostic for Sickle Cell Disease","Intelligent Computing Theories and Methodologies","","","","10.1007/978-3-319-22186-1_66","Mohammed KhalafAbir Jaafar HussainDhiya Al-JumeilyPaul FergusRussell KeenanNaeem Radi","2015","http://link.springer.com/chapter/10.1007/978-3-319-22186-1_66","Chapter"
"Fuzzy Logic and Voronoi Diagram Using for Cluster Head Selection in Ubiquitous Sensor Networks","Internet of Things, Smart Spaces, and Next Generation Networks and Systems","","","","10.1007/978-3-319-10353-2_28","Yahya Al-NaggarAndrey Koucheryavy","2014","http://link.springer.com/chapter/10.1007/978-3-319-10353-2_28","Chapter"
"3D Watertight Mesh Generation with Uncertainties from Ubiquitous Data","Computer Vision –  ACCV 2016","","","","10.1007/978-3-319-54190-7_23","Laurent CaraffaMathieu BrédifBruno Vallet","2017","http://link.springer.com/chapter/10.1007/978-3-319-54190-7_23","Chapter"
"Intelligent ERP Based Multi Agent Systems and Cloud Computing","Machine Learning for Networking","","","","10.1007/978-3-030-19945-6_27","Nardjes BouchemalNaila Bouchemal","2019","http://link.springer.com/chapter/10.1007/978-3-030-19945-6_27","Chapter"
"Interoperability in Electronic Health Records Through the Mediation of Ubiquitous User Model","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-48746-5_19","Ma. Lourdes Martínez-VillaseñorLuis Miralles-PechuanMiguel González-Mendoza","2016","http://link.springer.com/chapter/10.1007/978-3-319-48746-5_19","Chapter"
"Reliable Publish/Subscribe in Dynamic Ubiquitous Systems","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-48799-1_18","Ugaitz AmozarrainMikel Larrea","2016","http://link.springer.com/chapter/10.1007/978-3-319-48799-1_18","Chapter"
"An Ubiquitous Service-Oriented Architecture for Urban Sensing","Agent Technology for Intelligent Mobile Services and Smart Societies","","","","10.1007/978-3-662-46241-6_1","Carlos O. RolimAnubis G. RossettoValderi R. Q. LeithardtGuilherme A. BorgesTatiana F. M. dos SantosAdriano M. SouzaCláudio F. R. Geyer","2015","http://link.springer.com/chapter/10.1007/978-3-662-46241-6_1","Chapter"
"Unlocking Value from Ubiquitous Data","Information and Communication Technologies in Education, Research, and Industrial Applications","","","","10.1007/978-3-030-13929-2_1","Rajendra AkerkarMinsung Hong","2019","http://link.springer.com/chapter/10.1007/978-3-030-13929-2_1","Chapter"
"Exploratory Subgroup Analytics on Ubiquitous Data","Mining, Modeling, and Recommending 'Things' in Social Media","","","","10.1007/978-3-319-14723-9_1","Martin AtzmuellerJuergen MuellerMartin Becker","2015","http://link.springer.com/chapter/10.1007/978-3-319-14723-9_1","Chapter"
"Ubiquitous Self-Organizing Map: Learning Concept-Drifting Data Streams","New Contributions in Information Systems and Technologies","","","","10.1007/978-3-319-16486-1_70","Bruno SilvaNuno Marques","2015","http://link.springer.com/chapter/10.1007/978-3-319-16486-1_70","Chapter"
"Ubiquitous Individual Information Systems","Future Network Systems and Security","","","","10.1007/978-3-319-94421-0_15","Claris ChungKhushbu TilvawalaShohil KishoreGabrielle PekoAsfahaan MirzaDavid Sundaram","2018","http://link.springer.com/chapter/10.1007/978-3-319-94421-0_15","Chapter"
"Using the GQM Method to Evaluate Calmness in Ubiquitous Applications","Distributed, Ambient, and Pervasive Interactions","","","","10.1007/978-3-319-20804-6_2","Rainara M. CarvalhoRossana M. C. AndradeKáthia M. Oliveira","2015","http://link.springer.com/chapter/10.1007/978-3-319-20804-6_2","Chapter"
"Ubiquitous Healthcare Systems: Improving the Adherence Level within Diabetic Medication Using Cloud-Based Reminder System","Human Interface and the Management of Information. Information and Knowledge Design","","","","10.1007/978-3-319-20612-7_51","Mohammed KalkattawiTatsuo Nakajima","2015","http://link.springer.com/chapter/10.1007/978-3-319-20612-7_51","Chapter"
"Software-Defined Networking for Ubiquitous Healthcare Service Delivery","Broadband Communications, Networks, and Systems","","","","10.1007/978-3-030-05195-2_10","Foteini AndriopoulouKonstantinos BirkosGeorgios MantasDimitrios Lymberopoulos","2019","http://link.springer.com/chapter/10.1007/978-3-030-05195-2_10","Chapter"
"Towards Landmine Detection Using Ubiquitous Satellite Imaging","Advances in Visual Computing","","","","10.1007/978-3-319-50835-1_24","Sahar ElkazazMohamed E. HusseinAhmed El-MahdyHiroshi Ishikawa","2016","http://link.springer.com/chapter/10.1007/978-3-319-50835-1_24","Chapter"
"Legal Issues and User Experience in Ubiquitous Systems from a Privacy Perspective","Human Aspects of Information Security, Privacy, and Trust","","","","10.1007/978-3-319-20376-8_40","Patricia C. de SouzaCristiano Maciel","2015","http://link.springer.com/chapter/10.1007/978-3-319-20376-8_40","Chapter"
"Handling ECG Vital Signs in Personalized Ubiquitous Telemedicine Services","Broadband Communications, Networks, and Systems","","","","10.1007/978-3-030-05195-2_9","Maria PapaioannouGeorge MandellosTheodor PanagiotakopoulosDimitrios Lymperopoulos","2019","http://link.springer.com/chapter/10.1007/978-3-030-05195-2_9","Chapter"
"Security Policy Model for Ubiquitous Social Systems","Modeling and Using Context","","","","10.1007/978-3-319-57837-8_24","Vladimir JovanovikjDušan GabrijelčičTomaž Klobučar","2017","http://link.springer.com/chapter/10.1007/978-3-319-57837-8_24","Chapter"
"Blended Learning Support with Social Media Empowered by Ubiquitous Personal Study","New Horizons in Web Based Learning","","","","10.1007/978-3-662-43454-3_14","Xiaokang ZhouHaifeng ManHong ChenYan WuQun Jin","2014","http://link.springer.com/chapter/10.1007/978-3-662-43454-3_14","Chapter"
"Context Ontologies in Ubiquitous Learning Environments","Advances in Artificial Intelligence - IBERAMIA 2016","","","","10.1007/978-3-319-47955-2_32","Gabriela GonzálezElena DuránAnalía Amandi","2016","http://link.springer.com/chapter/10.1007/978-3-319-47955-2_32","Chapter"
"A Survey on Cloud Computing","Big Data Analytics","","","","10.1007/978-981-10-6620-7_16","Mohammad Ubaidullah BokhariQahtan MakkiYahya Kord Tamandani","2018","http://link.springer.com/chapter/10.1007/978-981-10-6620-7_16","Chapter"
"Optimization of the UAV-P’s Motion Trajectory in Public Flying Ubiquitous Sensor Networks (FUSN-P)","Internet of Things, Smart Spaces, and Next Generation Networks and Systems","","","","10.1007/978-3-319-23126-6_32","Ruslan KirichekAlexander ParamonovKarine Vareldzhyan","2015","http://link.springer.com/chapter/10.1007/978-3-319-23126-6_32","Chapter"
"uCanvas: A Web Framework for Spontaneous Smartphone Interaction with Ubiquitous Displays","Human-Computer Interaction – INTERACT 2015","","","","10.1007/978-3-319-22698-9_27","Tilman DinglerTobias BaggYves GrauNiels HenzeAlbrecht Schmidt","2015","http://link.springer.com/chapter/10.1007/978-3-319-22698-9_27","Chapter"
"Multimodal Interaction Flow Representation for Ubiquitous Environments - MIF: A Case Study in Surgical Navigation Interface Design","Human-Computer Interaction: Interaction Technologies","","","","10.1007/978-3-319-20916-6_73","Gul TokdemirGamze AltunNergiz E. CagiltayH. Hakan MarasAlp Ozgun Borcek","2015","http://link.springer.com/chapter/10.1007/978-3-319-20916-6_73","Chapter"
"Fuzzy Fog Computing: A Linguistic Approach for Knowledge Inference in Wearable Devices","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-67585-5_48","Javier MedinaMacarena EspinillaDaniel ZafraLuis MartínezChristopher Nugent","2017","http://link.springer.com/chapter/10.1007/978-3-319-67585-5_48","Chapter"
"A Time Series Classification Approach for Motion Analysis Using Ensembles in Ubiquitous Healthcare Systems","Artificial Neural Networks in Pattern Recognition","","","","10.1007/978-3-319-11656-3_25","Rana SalaheldinMohamed ElHelwNeamat El Gayar","2014","http://link.springer.com/chapter/10.1007/978-3-319-11656-3_25","Chapter"
"A Study of Security Level in Cloud Computing","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_65","Eric NiyonsabaJongwook Jang","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_65","Chapter"
"Design of Secure Protocol for Session Key Exchange in Vehicular Cloud Computing","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_36","Jungho KangJong Hyuk Park","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_36","Chapter"
"Zero-Knowledge Authentication for Secure Multi-cloud Computing Environments","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_37","Hyungjoo KimHyunsoo ChungJungho Kang","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_37","Chapter"
"Are the Days of Field-to-Laboratory Analysis Gone? Effects of Ubiquitous Environmental River Water Quality Assessment","e-Infrastructure and e-Services","","","","10.1007/978-3-319-43696-8_16","K. B. Goodman MakojoaIsaac O. Osunmakinde","2016","http://link.springer.com/chapter/10.1007/978-3-319-43696-8_16","Chapter"
"The Information Infrastructure for Analyzing and Visualizing Learning Logs in Ubiquitous Learning Environments","Distributed, Ambient and Pervasive Interactions","","","","10.1007/978-3-030-21935-2_31","Songran LiuKousuke MouriHiroaki Ogata","2019","http://link.springer.com/chapter/10.1007/978-3-030-21935-2_31","Chapter"
"Web-Based Ubiquitous Learning","Advances in Web-Based Learning – ICWL 2013 Workshops","","","","10.1007/978-3-662-46315-4_28","Chiou-Mei ChenWuu-Wen Lin","2015","http://link.springer.com/chapter/10.1007/978-3-662-46315-4_28","Chapter"
"Remediating the Historical City. Ubiquitous Augmented Reality for Cultural Heritage Enhancement","Proceedings of the 1st International and Interdisciplinary Conference on Digital Environments for Education, Arts and Heritage","","","","10.1007/978-3-030-12240-9_33","S. BrusaporciF. GraziosiF. FranchiP. Maiezza","2019","http://link.springer.com/chapter/10.1007/978-3-030-12240-9_33","Chapter"
"Connecting Dots for Ubiquitous Learning Analytics","Hybrid Learning: Innovation in Educational Practices","","","","10.1007/978-3-319-20621-9_4","Hiroaki OgataKousuke Mouri","2015","http://link.springer.com/chapter/10.1007/978-3-319-20621-9_4","Chapter"
"Assessing the Usage of Ubiquitous Learning","Technology and Innovation in Learning, Teaching and Education","","","","10.1007/978-3-030-20954-4_45","Ioannis KazanidisStavros ValsamidisSotirios KontogiannisElias Gounopoulos","2019","http://link.springer.com/chapter/10.1007/978-3-030-20954-4_45","Chapter"
"A Structure of Wearable Message-Robot for Ubiquitous and Pervasive Services","Distributed, Ambient, and Pervasive Interactions","","","","10.1007/978-3-319-07788-8_38","Tomoko YonezawaHirotake Yamazoe","2014","http://link.springer.com/chapter/10.1007/978-3-319-07788-8_38","Chapter"
"A Survey on Security Issues in Big Data of Ubiquitous Network","5G for Future Wireless Networks","","","","10.1007/978-3-319-72823-0_10","Yuehua HuoYanyu SunWeiqiang FanXinzhou ChengDong LiYinlong Liu","2018","http://link.springer.com/chapter/10.1007/978-3-319-72823-0_10","Chapter"
"Ubiquitous Healthcare Systems and Medical Rules in COPD Domain","How AI Impacts Urban Living and Public Health","","","","10.1007/978-3-030-32785-9_9","Hicham AjamiHamid McheickKaram Mustapha","2019","http://link.springer.com/chapter/10.1007/978-3-030-32785-9_9","Chapter"
